date,equity
2024-02-08,5000000.0
2024-02-09,5000000.0
2024-02-10,5000000.0
2024-02-11,4996047.279794
2024-02-12,4969757.84535
2024-02-13,4968732.715349999
2024-02-14,4952456.54958
2024-02-15,4941189.9581662
2024-02-16,4348940.319563196
2024-02-17,4306973.326632194
2024-02-18,4289683.601372196
2024-02-19,4325101.827169196
2024-02-20,4280180.920769194
2024-02-21,4224771.074249193
2024-02-22,4107729.015595193
2024-02-23,4123035.7856351957
2024-02-24,4152303.071949196
2024-02-25,4154379.581949197
2024-02-26,4143764.810853194
2024-02-27,4106052.810853194
2024-02-28,3987370.6122569963
2024-02-29,4033323.458926597
2024-03-01,4008964.1756865983
2024-03-02,3969340.3388649975
2024-03-03,3970691.2388649997
2024-03-04,3971986.870864999
2024-03-05,3883562.2811557995
2024-03-06,3835139.6570437998
2024-03-07,3825310.3620437994
2024-03-08,3819331.532043799
2024-03-09,3821878.7025518008
2024-03-10,3805776.2470618007
2024-03-11,3798953.1670618
2024-03-12,3784975.5311098006
2024-03-13,3783539.5261098007
2024-03-14,3789731.8189338003
2024-03-15,3743759.229997801
2024-03-16,3741295.119997801
2024-03-17,3736238.1747078015
2024-03-18,3745123.9547078013
2024-03-19,3728936.4645958003
2024-03-20,3736695.5264078015
2024-03-21,3739287.6004188014
2024-03-22,3709017.555418801
2024-03-23,3737508.5385688036
2024-03-24,3701029.4039388015
2024-03-25,3705268.9136768025
2024-03-26,3710247.0101428013
2024-03-27,3726924.519308003
2024-03-28,3721025.5975080025
2024-03-29,3694792.8016700037
2024-03-30,3536207.8088154052
2024-03-31,3710609.532175401
2024-04-01,3639622.5768157993
2024-04-02,3662098.2397018047
2024-04-03,3693776.916187801
2024-04-04,3811898.856792599
2024-04-05,3793535.0147926006
2024-04-06,3728709.2567317993
2024-04-07,3942488.6257415996
2024-04-08,3913323.2054165974
2024-04-09,3547863.991115604
2024-04-10,3430996.3546744017
2024-04-11,3471927.082525402
2024-04-12,3536469.634689003
2024-04-13,3454204.0038489997
2024-04-14,3437732.0558490055
2024-04-15,3401138.517686002
2024-04-16,3376093.093764202
2024-04-17,3394914.027764202
2024-04-18,3470868.7967442027
2024-04-19,3514319.924233002
2024-04-20,3640815.163025002
2024-04-21,3636192.9062848045
2024-04-22,3633667.965284803
2024-04-23,3673394.2542848024
2024-04-24,3633204.497584804
2024-04-25,3619003.223584803
2024-04-26,3640526.0845848024
2024-04-27,3653949.976584805
2024-04-28,3634480.0185848027
2024-04-29,3586192.2344352035
2024-04-30,3571240.6877312027
2024-05-01,3546520.7396562025
2024-05-02,3527188.4146562037
2024-05-03,3503966.1467622025
2024-05-04,3508036.046762203
2024-05-05,3511643.5967622027
2024-05-06,3512523.4217622024
2024-05-07,3519479.671762203
2024-05-08,3515573.6229582033
2024-05-09,3426537.9975432064
2024-05-10,3400968.746625205
2024-05-11,3382455.371393204
2024-05-12,3386543.4263932053
2024-05-13,3380858.239202206
2024-05-14,3379786.999202205
2024-05-15,3374483.0657182047
2024-05-16,3336717.9858962074
2024-05-17,3334608.908688206
2024-05-18,3339740.9667282063
2024-05-19,3320117.6647266084
2024-05-20,3332944.6247266065
2024-05-21,3349905.2178742075
2024-05-22,3332493.8622582075
2024-05-23,3322260.0870582056
2024-05-24,3312791.1688512084
2024-05-25,3310391.951943209
2024-05-26,3310637.4236812084
2024-05-27,3294418.0676812087
2024-05-28,3281831.869193209
2024-05-29,3278917.6299032085
2024-05-30,3266405.470313208
2024-05-31,3269497.7341372073
2024-06-01,3263926.181265208
2024-06-02,3280500.145748209
2024-06-03,3293199.548436208
2024-06-04,3310804.1584362113
2024-06-05,3382671.806690208
2024-06-06,3452787.35441621
2024-06-07,3537280.0137142087
2024-06-08,3480830.9827142092
2024-06-09,3463983.2567142127
2024-06-10,3358729.0532812085
2024-06-11,3197580.9481762075
2024-06-12,3277954.4888842106
2024-06-13,3182875.274373011
2024-06-14,3157135.81494701
