,value
total_trades,203.0
total_pnl,654675.7402024033
total_return,0.13372508624048232
annual_return,0.2596864058277648
sharpe_ratio,1.2669051603830515
sortino_ratio,1.3810137169793488
max_drawdown,0.09936971513257568
win_rate,0.541871921182266
profit_factor,1.4386905802523038
avg_win,19518.32987754359
avg_loss,-16046.672541154747
max_consecutive_losses,7.0
calmar_ratio,2.613335516573637
