pair,direction,open_date,close_date,holding_days,net_pnl,gross_pnl,open_commission,close_commission,total_commission,return_pct,close_reason,margin_released
SS-HC,long,2024-07-08,2024-07-11,3,-23754.480570000705,-23016.330000000704,371.2180319999998,366.93253799999997,738.1505699999998,-0.10665107170764053,signal,222730.81919999988
SS-HC,long,2024-07-23,2024-08-26,34,46631.242548001814,47340.24000000182,362.34328199999993,346.65416999999985,708.9974519999998,0.2144892466365722,time_stop,217405.96919999996
ZN-I,long,2024-08-15,2024-08-26,11,-33342.70215000078,-32623.470000000787,348.892122,370.3400279999999,719.2321499999998,-0.15927894826470548,stop_loss,209335.27319999997
NI-I,long,2024-08-15,2024-08-26,11,-43010.04124880001,-42561.69400000001,219.1475938,229.19965500000004,448.34724880000005,-0.3271010228237028,stop_loss,131488.55628
AL-I,short,2024-09-30,2024-10-08,8,-41777.35152499981,-41283.37499999981,250.0046049999999,243.97191999999984,493.97652499999975,-0.27851054666906255,stop_loss,150002.76299999992
SF-I,short,2024-09-30,2024-10-08,8,-29122.754494000095,-28560.390000000094,286.289408,276.07508600000006,562.364494,-0.16954145979674817,stop_loss,171773.64479999998
PB-I,short,2024-09-30,2024-10-08,8,-45304.33973599982,-44648.43999999982,333.03126399999996,322.868472,655.899736,-0.22672716064679455,stop_loss,199818.75839999996
SS-I,short,2024-09-30,2024-10-08,8,-44117.615568000256,-43573.20000000026,275.82566399999996,268.589904,544.4155679999999,-0.26657910730163403,stop_loss,165495.39839999995
PB-SM,short,2024-09-30,2024-10-08,8,-43558.86783999991,-42829.69999999991,369.9075800000001,359.26025999999996,729.1678400000001,-0.19626013899652045,stop_loss,221944.54800000004
SS-RB,short,2024-09-30,2024-10-16,16,-34541.21652400179,-33811.94000000179,366.7506840000002,362.5258400000001,729.2765240000003,-0.15696956193453107,stop_loss,220050.41040000008
PB-RB,short,2024-09-30,2024-10-17,17,-54492.45109000062,-53743.85000000062,383.5127600000003,365.08833,748.6010900000003,-0.23681285550099465,stop_loss,230107.65600000016
PB-HC,short,2024-09-30,2024-10-17,17,-33193.01889300089,-32549.805000000888,328.33397400000024,314.87991899999986,643.2138930000001,-0.168492152916839,stop_loss,197000.38440000013
SM-I,short,2024-09-30,2024-11-04,35,-19426.741899999543,-19033.099999999544,201.2551799999999,192.38671999999997,393.64189999999985,-0.1608798499828224,time_stop,120753.10799999995
RB-SM,long,2024-10-08,2024-11-04,27,-33726.63708399985,-32980.49999999985,373.443924,372.69316,746.137084,-0.15052075611401947,stop_loss,224066.35439999998
