date,kalman_beta,ols_beta,difference
2023-07-05,-1.5984002359877967,-1.810651123196953,0.2122508872091564
2023-07-06,-1.5982853317632777,-1.742027563420784,0.14374223165750633
2023-07-07,-1.5998196986359416,-1.66796466728176,0.06814496864581843
2023-07-10,-1.5994082842693635,-1.4547958592848431,-0.14461242498452043
2023-07-11,-1.5971746620424137,-1.2531721971948908,-0.34400246484752284
2023-07-12,-1.598694653341152,-1.2509837706498566,-0.34771088269129535
2023-07-13,-1.5923491615722776,-1.1200816691515794,-0.4722674924206982
2023-07-14,-1.5942794049762081,-1.1910705273088347,-0.40320887766737346
2023-07-17,-1.5954840233498282,-0.9626555956695739,-0.6328284276802543
2023-07-18,-1.594297027507013,-0.6262065784715709,-0.9680904490354421
2023-07-19,-1.5915634962798146,-0.26320575540940894,-1.3283577408704057
2023-07-20,-1.5920011130076672,-0.02391968654637111,-1.5680814264612961
2023-07-21,-1.5924540233157425,0.31469565478483474,-1.9071496781005772
2023-07-24,-1.5940440351646317,0.610483834745871,-2.2045278699105024
2023-07-25,-1.5917175276154722,0.8439531688809971,-2.4356706964964694
2023-07-26,-1.589116687770473,1.0366690782385035,-2.6257857660089767
2023-07-27,-1.5879297433916482,1.1832715668123086,-2.7712013102039568
2023-07-28,-1.5906203326162347,1.4836277362108987,-3.074248068827133
2023-07-31,-1.5890367781418377,1.4795039142083333,-3.068540692350171
2023-08-01,-1.5858258574641881,1.4721402530147145,-3.057966110478903
2023-08-02,-1.5870583929262032,1.5467320128115745,-3.133790405737778
2023-08-03,-1.5902476121883264,1.5598395115813286,-3.150087123769655
2023-08-04,-1.5893027150649013,1.5342404332170894,-3.123543148281991
2023-08-07,-1.5893174464663813,1.5391168763501462,-3.1284343228165277
2023-08-08,-1.5895426010544527,1.5921225172449613,-3.181665118299414
2023-08-09,-1.589920547157504,1.6126995941183804,-3.2026201412758843
2023-08-10,-1.5899925140401105,1.6373274141266192,-3.2273199281667297
2023-08-11,-1.5911678109096976,1.7052304341687838,-3.2963982450784814
2023-08-14,-1.5936925911480395,1.7789981193645774,-3.372690710512617
2023-08-15,-1.592432835792895,1.9103879794308725,-3.5028208152237674
2023-08-16,-1.5969414844851915,1.8801955177165528,-3.4771370022017445
2023-08-17,-1.5964576346540649,1.8487133011789858,-3.4451709358330507
2023-08-18,-1.5983323361123993,1.8014082957096527,-3.399740631822052
2023-08-21,-1.5948558929952068,1.6886481081504634,-3.28350400114567
2023-08-22,-1.5942637988564243,1.6210226465325288,-3.215286445388953
2023-08-23,-1.5929679845287454,1.5609294813642194,-3.153897465892965
2023-08-24,-1.590564503301029,1.4625202537263462,-3.053084757027375
2023-08-25,-1.5896197980334774,1.4150446646283648,-3.004664462661842
2023-08-28,-1.5899838752860649,1.3620643800435523,-2.9520482553296175
2023-08-29,-1.5881403370115266,1.3377489022386442,-2.9258892392501705
2023-08-30,-1.5855389131675794,1.221378599617033,-2.8069175127846124
2023-08-31,-1.5847452159554962,1.179550863252068,-2.764296079207564
2023-09-01,-1.582749747184051,1.2153601811492507,-2.798109928333302
2023-09-04,-1.5819924399479544,1.2326406850628828,-2.814633125010837
2023-09-05,-1.58216062240842,1.2644049699902276,-2.8465655923986475
2023-09-06,-1.5811568421406634,1.307998049839064,-2.8891548919797274
2023-09-07,-1.5815146787346772,1.3491296873047531,-2.9306443660394303
2023-09-08,-1.5809597139308678,1.3503078277866756,-2.9312675417175433
2023-09-11,-1.5796157882285102,1.4441484356885184,-3.023764223917029
2023-09-12,-1.5773972641314074,1.5513933818217112,-3.1287906459531185
2023-09-13,-1.5784033294139497,1.5961977026196728,-3.1746010320336224
2023-09-14,-1.5733093435744956,1.6424052274806265,-3.215714571055122
2023-09-15,-1.5748134881990632,1.6886716482645383,-3.2634851364636015
2023-09-18,-1.5767693543205885,1.7214876881610657,-3.298257042481654
2023-09-19,-1.5763639765085147,1.737327594804544,-3.3136915713130586
2023-09-20,-1.5762499738668032,1.7296704531791427,-3.3059204270459457
2023-09-21,-1.5764225848651445,1.7288984108870267,-3.3053209957521714
2023-09-22,-1.5735004541585123,1.780137925334106,-3.3536383794926183
2023-09-25,-1.573975420988133,1.8063665653064014,-3.3803419862945345
2023-09-26,-1.5733849309615047,1.8416991247731183,-3.415084055734623
2023-09-27,-1.5776094623338046,1.858922669940048,-3.436532132273853
2023-09-28,-1.581694776407101,1.8522145808010038,-3.4339093572081048
2023-10-09,-1.582199837615614,1.753109638137571,-3.335309475753185
2023-10-10,-1.5896147826666218,1.6015757357841824,-3.1911905184508043
2023-10-11,-1.589214827561911,1.4705170340945912,-3.059731861656502
2023-10-12,-1.5870496343243554,1.3748544798515407,-2.961904114175896
2023-10-13,-1.5871603661216727,1.330939471835718,-2.9180998379573904
2023-10-16,-1.5828347712195072,1.3236857446716197,-2.9065205158911267
2023-10-17,-1.585309231914608,1.2801522875572302,-2.8654615194718382
2023-10-18,-1.5806476377420082,1.2290766773883917,-2.8097243151304
2023-10-19,-1.5797076344048187,1.1755789865809358,-2.7552866209857543
2023-10-20,-1.577690451022742,1.0345364009572613,-2.6122268519800036
2023-10-23,-1.5786067068277339,0.9040808369548259,-2.4826875437825597
2023-10-24,-1.5771333489759392,0.8248107905146966,-2.401944139490636
2023-10-25,-1.5763320247594284,0.7850343027038527,-2.361366327463281
2023-10-26,-1.5752260549839305,0.736417863684121,-2.3116439186680515
2023-10-27,-1.5753261191612091,0.6897807273618248,-2.265106846523034
2023-10-30,-1.5730959260915485,0.6626261647295024,-2.235722090821051
