date,pair,signal,z_score,innovation,beta,beta_initial,days_held,reason,phase,beta_window_used,symbol_x,symbol_y
2024-04-30,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-05-06,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-05-07,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-05-08,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-05-09,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-05-10,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-05-13,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-05-14,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-05-15,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-05-16,AG-NI,ols_training,0.0,0.0,0.29606269352757864,-0.216854,0,ols_training,ols_training,1y,AG,NI
2024-05-17,AG-NI,kalman_warmup,2.409888957533021,0.06915574798029311,0.30362389171501414,-0.216854,0,kalman_warmup,ols_training,1y,AG,NI
2024-05-20,AG-NI,kalman_warmup,0.16395492229478162,0.004816726931208493,0.30391435552429896,-0.216854,0,kalman_warmup,ols_training,1y,AG,NI
2024-05-21,AG-NI,kalman_warmup,0.10468971514215826,0.0030606110030237943,0.30407291399436764,-0.216854,0,kalman_warmup,ols_training,1y,AG,NI
2024-05-22,AG-NI,kalman_warmup,-0.1974593838457472,-0.005744120344473913,0.30378700231285755,-0.216854,0,kalman_warmup,ols_training,1y,AG,NI
2024-05-23,AG-NI,kalman_warmup,-0.8855526482741758,-0.025636766077468565,0.30251933662952574,-0.216854,0,kalman_warmup,ols_training,1y,AG,NI
2024-05-24,AG-NI,kalman_warmup,-0.029382410990804974,-0.000849703057976825,0.30247712123185594,-0.216854,0,kalman_warmup,ols_training,1y,AG,NI
2024-05-27,AG-NI,kalman_warmup,-0.0913002258658538,-0.002627066672229006,0.3023452620417338,-0.216854,0,kalman_warmup,ols_training,1y,AG,NI
2024-05-28,AG-NI,kalman_warmup,0.18353942736873932,0.005254900479592095,0.3026115743234018,-0.216854,0,kalman_warmup,ols_training,1y,AG,NI
2024-05-29,AG-NI,kalman_warmup,-0.054750145814304395,-0.0015599543039872543,0.3025318674366342,-0.216854,0,kalman_warmup,ols_training,1y,AG,NI
2024-05-30,AG-NI,kalman_warmup,-0.7860700114667067,-0.022284967081837692,0.3013856053670279,-0.216854,0,kalman_warmup,ols_training,1y,AG,NI
2024-05-31,AG-NI,kalman_warmup,-0.23726050154933606,-0.006713436990049004,0.3010384421272284,-0.216854,0,kalman_warmup,ols_training,1y,AG,NI
2024-06-03,AG-NI,kalman_warmup,-0.7294200951449857,-0.02054178745970603,0.2999686701138353,-0.216854,0,kalman_warmup,kalman_warmup,1y,AG,NI
2024-06-04,AG-NI,kalman_warmup,-0.6746052490440644,-0.01895359979524258,0.29897644578180177,-0.216854,0,kalman_warmup,kalman_warmup,1y,AG,NI
2024-06-05,AG-NI,kalman_warmup,-1.015636786316091,-0.028457315253687554,0.29748109915310406,-0.216854,0,kalman_warmup,kalman_warmup,1y,AG,NI
2024-06-06,AG-NI,kalman_warmup,-0.583139910721351,-0.01634167986351187,0.29662012701144475,-0.216854,0,kalman_warmup,kalman_warmup,1y,AG,NI
2024-06-07,AG-NI,kalman_warmup,-0.5398397415671635,-0.015078251300044698,0.29582255032250776,-0.216854,0,kalman_warmup,kalman_warmup,1y,AG,NI
2024-06-11,AG-NI,kalman_warmup,-0.3102224686281179,-0.00863406372445219,0.2953646139942426,-0.216854,0,kalman_warmup,kalman_warmup,1y,AG,NI
2024-06-12,AG-NI,kalman_warmup,-0.1860015753885822,-0.005153321131880162,0.2950895916221608,-0.216854,0,kalman_warmup,kalman_warmup,1y,AG,NI
2024-06-13,AG-NI,kalman_warmup,-0.39087111945749153,-0.010776993850209138,0.29451195792102475,-0.216854,0,kalman_warmup,kalman_warmup,1y,AG,NI
2024-06-14,AG-NI,kalman_warmup,-0.46873443187118485,-0.01286895722247472,0.29381982786958216,-0.216854,0,kalman_warmup,kalman_warmup,1y,AG,NI
2024-06-17,AG-NI,kalman_warmup,-0.7096389050165458,-0.019406753903552953,0.2927726250456605,-0.216854,0,kalman_warmup,kalman_warmup,1y,AG,NI
2024-06-18,AG-NI,kalman_warmup,-0.7685314463373796,-0.020965078515517988,0.29163924236237615,-0.216854,0,kalman_warmup,kalman_warmup,1y,AG,NI
2024-06-19,AG-NI,kalman_warmup,-0.17845497582505285,-0.004858170757136904,0.29137625300279935,-0.216854,0,kalman_warmup,kalman_warmup,1y,AG,NI
2024-06-20,AG-NI,kalman_warmup,-0.14221220300840043,-0.003852728588292109,0.2911668441688025,-0.216854,0,kalman_warmup,kalman_warmup,1y,AG,NI
2024-06-21,AG-NI,kalman_warmup,-0.6334137113310258,-0.017075796263991805,0.2902362975309865,-0.216854,0,kalman_warmup,kalman_warmup,1y,AG,NI
