date,equity
2024-02-08,5000000.0
2024-02-09,4998591.23956
2024-02-10,5000726.439099999
2024-02-11,4998456.231211999
2024-02-12,4981553.143239999
2024-02-13,4954109.826935998
2024-02-14,4970484.922049997
2024-02-15,4863255.008402795
2024-02-16,4847368.908402797
2024-02-17,4838828.664182794
2024-02-18,4835490.939130794
2024-02-19,4848325.639130796
2024-02-20,4865778.012578796
2024-02-21,4862565.756440796
2024-02-22,4843477.179152798
2024-02-23,4848731.230854797
2024-02-24,4850818.142484796
2024-02-25,4849681.082156796
2024-02-26,4831819.286440796
2024-02-27,4833843.918752796
2024-02-28,4835784.691900798
2024-02-29,4840138.024420797
2024-03-01,4858214.277972797
2024-03-02,4856800.712252797
2024-03-03,4863584.724536799
2024-03-04,4858680.373681
2024-03-05,4793049.819193197
2024-03-06,4754170.7464812
2024-03-07,5126930.504869198
2024-03-08,5150783.8760400005
2024-03-09,5137271.0421980005
2024-03-10,5125255.35376
2024-03-11,5243660.921110008
2024-03-12,5235615.996444007
2024-03-13,5235615.996444007
2024-03-14,5232954.545292008
2024-03-15,5276375.778260807
2024-03-16,5321766.378843411
2024-03-17,5328368.305717407
2024-03-18,5325274.351781406
2024-03-19,5322693.377431407
2024-03-20,5352193.551111406
2024-03-21,5344742.024528406
2024-03-22,5342367.791969405
2024-03-23,5342367.791969405
2024-03-24,5340935.993349405
2024-03-25,5330221.018069404
2024-03-26,5330221.018069404
2024-03-27,5328412.272671404
2024-03-28,5328904.302926404
2024-03-29,5328904.302926404
2024-03-30,5328904.302926404
2024-03-31,5327752.061662405
2024-04-01,5321213.580105204
2024-04-02,5318105.814062604
2024-04-03,5300537.561360604
2024-04-04,5298240.049374604
2024-04-05,5329051.579849604
2024-04-06,5322265.753689604
2024-04-07,5373705.838473604
2024-04-08,5359022.051676605
2024-04-09,5356297.832340605
2024-04-10,5380984.6863546055
2024-04-11,5380984.6863546055
2024-04-12,5374452.1601866055
2024-04-13,5325558.949407603
2024-04-14,5309336.255923604
2024-04-15,5309336.255923604
2024-04-16,5309336.255923604
2024-04-17,5309336.255923604
2024-04-18,5309336.255923604
2024-04-19,5309336.255923604
2024-04-20,5309336.255923604
2024-04-21,5304780.953907603
2024-04-22,5374747.892347197
2024-04-23,5405960.633528398
2024-04-24,5485251.340195393
2024-04-25,5447720.674679395
2024-04-26,5444939.492559395
2024-04-27,5406319.172439396
2024-04-28,5394852.8009889955
2024-04-29,5408080.025988995
2024-04-30,5359535.4545477955
2024-05-01,5353287.7566786
2024-05-02,5092997.143947995
2024-05-03,5289274.7395449905
2024-05-04,5299514.235705593
2024-05-05,5303185.628605593
2024-05-06,5301653.580325593
2024-05-07,5297322.680325595
2024-05-08,5297367.960485594
2024-05-09,5297367.960485594
2024-05-10,5295860.300685595
2024-05-11,5346912.023965595
2024-05-12,5344077.700235594
2024-05-13,5336014.2736755945
2024-05-14,5320345.645515194
2024-05-15,5299134.037985397
2024-05-16,5340491.165845397
2024-05-17,5387298.617437398
2024-05-18,5403595.705447398
2024-05-19,5450417.620447397
2024-05-20,5432414.0854474
2024-05-21,5428146.230181399
2024-05-22,5427052.305401398
2024-05-23,5424478.672049398
2024-05-24,5463434.8823013995
2024-05-25,5455300.5563533995
2024-05-26,5391008.788084402
2024-05-27,5390755.609469399
2024-05-28,5385549.947109403
2024-05-29,5365429.406819402
2024-05-30,5363747.252331402
2024-05-31,5357220.519707402
2024-06-01,5381473.044707404
2024-06-02,5379773.967508404
2024-06-03,5378077.468310404
2024-06-04,5367002.606401804
2024-06-05,5417148.1811244115
2024-06-06,5402068.847491612
2024-06-07,5508320.430641612
2024-06-08,5509567.413157612
2024-06-09,5490242.708590812
2024-06-10,5347791.616039813
2024-06-11,5379436.970506807
2024-06-12,5377708.715128809
2024-06-13,5347292.75473801
2024-06-14,5633737.259061009
2024-06-15,5507105.496142003
2024-06-16,5513051.657956405
2024-06-17,5524409.426126412
2024-06-18,5490123.9899324095
2024-06-19,5483291.7332814075
2024-06-20,5469686.034299808
2024-06-21,5538692.557396603
2024-06-22,5548365.206785604
2024-06-23,5536749.617362805
