pair,num_trades,avg_holding_days,total_pnl,avg_pnl,total_return,win_rate,sharpe_ratio,sortino_ratio,max_drawdown,stop_loss_count,stop_loss_pnl,time_stop_count,avg_lots_x,avg_lots_y,contribution
AU-RB,6,3.6666666666666665,113296.37720000134,18882.729533333557,1.1329637720000134,0.6666666666666666,10.437485707641063,32.226937598551274,0.11999427894786344,0,0.0,0,2.3333333333333335,2.3333333333333335,0.17305724077231577
AG-SF,12,3.25,82111.10107800279,6842.591756500232,0.8211110107800279,0.5833333333333334,5.031407205042622,7.319258830990024,0.4770561772400183,3,126639.52995199885,0,10.833333333333334,19.833333333333332,0.12542255048677511
AU-I,2,5.5,74454.62808000026,37227.31404000013,0.7445462808000025,1.0,41.482399197370775,inf,0.0,0,0.0,0,2.0,2.0,0.11372748905737891
AL-I,1,8.0,70062.98209399985,70062.98209399985,0.7006298209399985,1.0,,inf,0.0,1,70062.98209399985,0,2.0,20.0,0.1070193651476054
AU-AL,10,3.9,63037.038390002,6303.7038390002,0.63037038390002,0.7,4.452883608573367,8.621527369070847,0.5555183225122025,3,122981.31757000054,0,1.0,10.0,0.09628742065577856
SM-I,2,5.5,62691.08026499988,31345.54013249994,0.6269108026499988,1.0,17.4788010340694,inf,0.0,1,47448.22014899989,0,10.5,21.0,0.09575897870542438
ZN-SM,2,2.5,56218.86974899811,28109.434874499057,0.5621886974899811,1.0,80.79947351509733,inf,0.0,2,56218.86974899811,0,11.5,23.0,0.08587284711606569
NI-I,1,8.0,55218.36625960019,55218.36625960019,0.5521836625960019,1.0,,inf,0.0,1,55218.36625960019,0,2.0,16.0,0.08434460431133214
PB-I,1,8.0,51651.893731999866,51651.893731999866,0.5165189373199987,1.0,,inf,0.0,1,51651.893731999866,0,4.0,16.0,0.07889691118847764
ZN-I,1,8.0,49140.70905000013,49140.70905000013,0.4914070905000013,1.0,,inf,0.0,1,49140.70905000013,0,2.0,14.0,0.07506114253570402
PB-SM,4,4.5,47200.53306600176,11800.13326650044,0.4720053306600176,0.75,7.359707733988997,,0.23321121858427346,2,63357.4410520017,0,14.5,17.5,0.07209757467324049
HC-I,5,5.8,37381.484788002796,7476.296957600559,0.37381484788002795,0.6,6.987394327061643,17.184439158241275,0.13610288639541926,1,34166.020864000544,0,30.2,5.6,0.05709923629741607
SS-SF,6,2.5,37142.84639399823,6190.474398999705,0.3714284639399823,0.3333333333333333,8.327697039023102,111.45854571396002,0.046235508630030675,1,22666.929498000885,0,15.666666666666666,25.666666666666668,0.05673472241771925
RB-NI,1,3.0,36983.954156798296,36983.954156798296,0.369839541567983,1.0,,inf,0.0,1,36983.954156798296,0,14.0,14.0,0.056492018698240026
CU-SM,3,4.0,36416.373626996974,12138.791208998991,0.36416373626996973,0.6666666666666666,6.251578705129108,,0.3619026549300204,2,72606.63911999902,0,3.0,27.0,0.055625054344824634
SM-NI,2,1.5,34961.466869597745,17480.733434798873,0.34961466869597746,1.0,14.099707840117537,inf,0.0,1,30452.041131198286,0,10.0,10.5,0.053402722481802764
SN-I,1,8.0,34885.93988819998,34885.93988819998,0.3488593988819998,1.0,,inf,0.0,1,34885.93988819998,0,1.0,10.0,0.053287357001214744
CU-ZN,5,2.4,31426.50084100111,6285.300168200222,0.3142650084100111,0.6,7.6078170058548515,33.24144362867358,0.06575869858000762,1,25047.19577199941,0,2.0,8.6,0.04800315470874958
RB-SF,8,2.625,26454.481181000003,3306.8101476250004,0.26454481181,0.375,3.3965189750752596,8.099813351075014,0.30930889387999677,1,47070.788040001076,0,20.375,50.125,0.04040852525377095
SM-AG,1,2.0,24745.88898199979,24745.88898199979,0.2474588898199979,1.0,,inf,0.0,1,24745.88898199979,0,16.0,9.0,0.03779869554101579
SS-RB,4,3.25,19649.74389200023,4912.435973000058,0.19649743892000232,0.75,8.971272251073335,,0.04793272139244772,0,0.0,0,11.25,30.0,0.03001446775150887
PB-NI,3,1.0,19545.44883379953,6515.149611266511,0.1954544883379953,0.6666666666666666,13.835741897241855,,0.013167151429993538,0,0.0,0,8.666666666666666,9.666666666666666,0.029855159789114454
PB-RB,4,1.5,18736.88165499941,4684.220413749853,0.18736881654999413,0.5,8.580496140531919,51.339231104480156,0.028501929035937335,0,0.0,0,18.25,18.25,0.028620094658168654
PB-SS,3,4.333333333333333,17267.57176899806,5755.857256332686,0.17267571768998058,0.6666666666666666,6.995900199992108,,0.08692615088000341,0,0.0,0,4.333333333333333,23.0,0.02637576239446343
SF-I,1,3.0,17065.38089600001,17065.38089600001,0.1706538089600001,1.0,,inf,0.0,0,0.0,0,23.0,10.0,0.026066921145915654
CU-AL,5,3.8,16941.78701100018,3388.3574022000357,0.16941787011000178,0.6,4.644769239423137,19.585104753541778,0.09336883408000285,1,21996.060832001865,0,1.4,9.8,0.02587813473241327
SS-HC,6,1.5,16376.884523004279,2729.4807538340465,0.1637688452300428,0.3333333333333333,3.3265398613472135,6.001123578395032,0.23615576014886366,2,50149.43918700285,0,9.666666666666666,39.333333333333336,0.025015261017524656
AG-NI,2,3.5,15906.859121597203,7953.429560798601,0.15906859121597203,1.0,18.431163154603038,inf,0.0,0,0.0,0,3.5,12.0,0.024297309560729022
AU-NI,2,2.0,14450.541655996993,7225.270827998496,0.14450541655996993,1.0,12.32807522645394,inf,0.0,0,0.0,0,1.0,10.0,0.02207282287797831
SM-SF,12,3.5,14100.111891000077,1175.0093242500063,0.14100111891000078,0.5,2.691804432054021,4.565372345917548,0.5570213897935028,2,99556.94568999976,0,14.5,53.416666666666664,0.02153755061496674
AG-I,1,8.0,13937.306841000669,13937.306841000669,0.13937306841000668,1.0,,inf,0.0,0,0.0,0,9.0,9.0,0.021288870176695004
AU-HC,9,4.333333333333333,12448.941694002066,1383.2157437780072,0.12448941694002065,0.6666666666666666,2.6739863003905326,3.510773980977252,0.2792237652647527,0,0.0,0,2.4444444444444446,2.4444444444444446,0.01901543150224763
SF-NI,2,2.5,11784.534986797953,5892.2674933989765,0.11784534986797952,1.0,13.70439117470766,inf,0.0,0,0.0,0,23.5,7.0,0.01800056770570814
AU-SN,1,3.0,8620.685055599382,8620.685055599382,0.08620685055599382,1.0,,inf,0.0,0,0.0,0,1.0,2.0,0.013167870025142771
SS-SM,2,4.0,7317.561476000759,3658.7807380003796,0.0731756147600076,0.5,3.174044539242231,,0.1328174772469574,1,23754.294696,0,21.0,11.0,0.011177382980066469
SS-I,1,1.0,6332.309020001788,6332.309020001788,0.06332309020001788,1.0,,inf,0.0,0,0.0,0,20.0,10.0,0.009672435728325683
AL-SN,2,4.0,3184.271162198492,1592.135581099246,0.031842711621984925,0.5,10.610234069596697,,0.000923332278001617,0,0.0,0,11.5,2.0,0.004863890574613357
HC-AG,1,2.0,1065.9341039998492,1065.9341039998492,0.010659341039998492,1.0,,inf,0.0,0,0.0,0,12.0,12.0,0.0016281863501926906
