,value
total_trades,0
total_pnl,0
total_return,0
annual_return,0
sharpe_ratio,0
sortino_ratio,0
max_drawdown,0
win_rate,0
profit_factor,0
avg_win,0
avg_loss,0
max_consecutive_losses,0
calmar_ratio,0
