date,kalman_beta,ols_beta,z_score,R
2021-04-19,1.1661648429596698,0.5095580791690829,-0.1461558315131503,2.179089783691788e-05
2021-04-20,1.166158660865159,0.5145929413505473,-0.000781011131645669,2.176911693908096e-05
2021-04-21,1.1651797634779775,0.5190627311349615,-0.1230156923294138,2.174735782214188e-05
2021-04-22,1.164243778052601,0.5236876365021648,-0.1157920471212373,2.172562046431974e-05
2021-04-23,1.162653879134052,0.5255653446092615,-0.1940616381345557,2.170390484385542e-05
2021-04-26,1.164850942207902,0.5252911155405673,0.2737396395602872,2.1682210939011565e-05
2021-04-27,1.1649366636121388,0.5399909479723048,0.01047230070808474,2.1660538728072555e-05
2021-04-28,1.16524609177805,0.5464416031720633,0.03902819953583826,2.1638888189344482e-05
2021-04-29,1.163361169837726,0.5422533454710272,-0.22758097005380587,2.161725930115514e-05
2021-04-30,1.1603925347162503,0.5156433723220657,-0.3665842548500904,2.1595652041853984e-05
2021-05-06,1.1590327556660591,0.4771657937717145,-0.16433449963236663,2.1574066389812132e-05
2021-05-07,1.1579394199157245,0.4435572422983558,-0.13129850375443594,2.1552502323422322e-05
2021-05-10,1.1563810123856446,0.41053532418290495,-0.1862673365685325,2.15309598210989e-05
2021-05-11,1.1577743101902822,0.3800405560532151,0.1806611001171583,2.1509438861277804e-05
2021-05-12,1.1576224461972635,0.3552855940185474,-0.018891732700343288,2.1487939422416525e-05
2021-05-13,1.1571510790701895,0.32184667013014573,-0.06043097066276908,2.146646148299411e-05
2021-05-14,1.1592797299566746,0.2892214492962865,0.27365555917017936,2.1445005021511116e-05
2021-05-17,1.1586022014250632,0.26394822931164497,-0.08198195382942673,2.1423570016489604e-05
2021-05-18,1.1621417907719758,0.2682911049614311,0.4407166945229439,2.1402156446473116e-05
2021-05-19,1.1627477596638052,0.27861459869808264,0.07841170557175764,2.1380764290026644e-05
2021-05-20,1.1625042197117472,0.2919862578057926,-0.030783399885490226,2.1359393525736618e-05
2021-05-21,1.1647407398248493,0.30879427239206614,0.28967146523213205,2.133804413221088e-05
2021-05-24,1.1672732783977835,0.3209917904528592,0.33433778472377307,2.131671608807867e-05
2021-05-25,1.165400087279892,0.3231308843930609,-0.22806164247017394,2.1295409371990593e-05
2021-05-26,1.1671534058004118,0.3251979625138958,0.22206630360047827,2.1274123962618602e-05
2021-05-27,1.1666984769327287,0.3281329288258721,-0.05543418543400235,2.1252859838655983e-05
2021-05-28,1.167452631425279,0.3357778114143525,0.09253838299665094,2.1231616978817327e-05
2021-05-31,1.165802151105278,0.34891874498109443,-0.20315274504130196,2.121039536183851e-05
2021-06-01,1.1662425150370013,0.3599935718108368,0.05469158806472301,2.1189194966476672e-05
2021-06-02,1.1681942782807797,0.3578376709145132,0.24938600863823948,2.1168015771510198e-05
2021-06-03,1.168258828243083,0.35553940722785426,0.008187732335009816,2.1146857755738687e-05
2021-06-04,1.1675536264073183,0.35022770529059044,-0.08916043620943287,2.112572089798295e-05
2021-06-07,1.1660450432609892,0.34606314294548984,-0.18573492031678274,2.110460517708497e-05
2021-06-08,1.1675673863182685,0.3375916486258278,0.19298530845066325,2.1083510571907884e-05
2021-06-09,1.1675032296907086,0.3395513809443327,-0.007914644637902838,2.1062437061335978e-05
2021-06-10,1.1659871787659968,0.34484329029674543,-0.18855644268939437,2.1041384624274644e-05
2021-06-11,1.162665130267416,0.35043523696449175,-0.38977567653914774,2.102035323965037e-05
2021-06-15,1.1628486153453683,0.34841981950728906,0.02335457689449841,2.099934288641072e-05
2021-06-16,1.164347930999407,0.34681821456894674,0.19314747194352436,2.097835354352431e-05
2021-06-17,1.1651118224553039,0.3430351643246077,0.09440228735175461,2.0957385189980785e-05
2021-06-18,1.1639746755028513,0.3365856446295984,-0.14591140480898293,2.0936437804790804e-05
2021-06-21,1.1626823314759274,0.34403907692345037,-0.162889288297105,2.0915511366986013e-05
2021-06-22,1.1611024924046158,0.34988475402272085,-0.19130851281290406,2.0894605855619027e-05
2021-06-23,1.1612939846714139,0.3497014298200285,0.023700150290994367,2.087372124976341e-05
2021-06-24,1.1611916116913583,0.3427084855256541,-0.012849899907577749,2.085285752851365e-05
