pair,symbol_x,symbol_y,data_points,x_max,y_max,suspected_log_prices,OLS_Full_n_obs,OLS_Full_adf_stat,OLS_Full_p_value,OLS_Full_critical_5%,OLS_Full_is_stationary,OLS_Full_residual_mean,OLS_Full_residual_std,OLS_60d_n_obs,OLS_60d_adf_stat,OLS_60d_p_value,OLS_60d_critical_5%,OLS_60d_is_stationary,OLS_60d_residual_mean,OLS_60d_residual_std,Kalman_n_obs,Kalman_adf_stat,Kalman_p_value,Kalman_critical_5%,Kalman_is_stationary,Kalman_residual_mean,Kalman_residual_std,Coint_Beta_n_obs,Coint_Beta_adf_stat,Coint_Beta_p_value,Coint_Beta_critical_5%,Coint_Beta_is_stationary,Coint_Beta_residual_mean,Coint_Beta_residual_std
AG-NI,AG,NI,638,9.159041919680593,12.336214106950052,True,638,-3.701604703544925,0.004090639082442991,-2.8660879520543534,True,-1.9406280831692393e-15,0.09779421254302881,638,-2.488047283061717,0.11840970223789354,-2.866095119842903,False,-0.4457293615946253,0.22095969426831263,578,-3.5702140850890607,0.006356678036336601,-2.866570853087291,True,-0.07790670421807466,0.362765477523962,638,-0.9917127367757783,0.7562748763929734,-2.8660879520543534,False,41.33339821195142,0.5086230728213439
CU-SN,CU,SN,638,11.381529128632925,12.602828545007585,True,638,-4.146075942783605,0.0008119410816644794,-2.8660879520543534,True,-8.213562188449434e-16,0.04354322732124918,638,-3.3283915295791173,0.01365610007548738,-2.8660879520543534,True,0.059984846020726824,0.05059285584301928,578,-5.228689376622178,7.680622215490248e-06,-2.8665621113012514,True,0.010765760241923971,0.032556418907828455,638,-2.49961709532267,0.11556751740066112,-2.8660879520543534,False,-25.07455826783932,0.13656675775950322
SF-ZN,SF,ZN,638,9.060018984375356,10.159348833752116,True,638,-2.074044446476136,0.25507870299142804,-2.8660879520543534,False,-1.2751903329863866e-15,0.06996378119725281,638,-1.1594835627624438,0.6907776585403053,-2.8661023102613137,False,0.09921276387332278,0.11059906011403112,578,-3.3711628608151725,0.01198209987102478,-2.8665796253604015,True,0.047410381699373345,0.15532717809612978,638,-1.3082973805210958,0.625367754085615,-2.86616806030903,False,-9.919578633977444,0.2613988079989679
AU-ZN,AU,ZN,638,6.7248331418759255,10.159348833752116,True,638,-2.2264816275077632,0.19677490789843916,-2.8660879520543534,False,-1.0635866969449776e-15,0.06375313676449922,638,-0.7487209139291005,0.8337230368699564,-2.8660879520543534,False,0.125823756564934,0.16393889514257803,578,-0.6516141023440079,0.858887795686927,-2.8666329082535222,False,-0.10358825786973724,0.589857135955969,638,-0.1371230178548354,0.9456130919092497,-2.8660879520543534,False,78.11799910524493,2.2071749533433684
