,value
total_trades,205.0
total_pnl,536749.9083628032
total_return,0.10734992347256095
annual_return,0.20630830937523537
sharpe_ratio,1.1254956628754522
sortino_ratio,1.8110084440665768
max_drawdown,0.07151070605880847
win_rate,0.5365853658536586
profit_factor,1.358139025308076
avg_win,18504.266521816295
avg_loss,-15775.99377933673
max_consecutive_losses,6.0
calmar_ratio,2.8849989147858923
