iteration,eta_beta,eta_c,z_mean,z_std,stability_ratio,correlation,whitening_ok
1,0.005,0.0005,0.00044761768907982156,0.02757888598219918,33.8902212802543,-0.1912794570036975,False
2,0.015,0.0005,0.00028986005652152755,0.015964181297851886,33.81478618613614,-0.19121606156124418,False
3,0.045,0.0005,0.00019771414175504603,0.00926683279181227,33.78971340751842,-0.1911949611573752,False
4,0.135,0.0005,0.00014168494606040045,0.0054219715805943584,33.78144163753509,-0.1911879549943475,False
5,0.405,0.0005,0.00010314028822081732,0.0032157863768917175,33.77885051351704,-0.19118567049657972,False
