pair,num_trades,avg_holding_days,total_pnl,avg_pnl,total_return,win_rate,sharpe_ratio,sortino_ratio,max_drawdown,stop_loss_count,stop_loss_pnl,time_stop_count,avg_lots_x,avg_lots_y,contribution
CU-SF,2,17.0,49131.83658400095,24565.918292000475,0.4913183658400095,0.5,8.497594681172849,,0.08779047688000065,0,0.0,1,2.0,20.0,-0.03363331721444863
SN-SF,2,18.5,43826.34317220071,21913.171586100354,0.4382634317220071,0.5,6.2707317757512575,,0.29239218488999674,1,-29239.218488999675,1,2.5,25.0,-0.030001428905263142
AU-HC,1,33.0,36263.79159999943,36263.79159999943,0.3626379159999943,1.0,,inf,0.0,0,0.0,1,1.0,10.0,-0.02482446598950478
AU-PB,1,33.0,30697.964639999875,30697.964639999875,0.30697964639999875,1.0,,inf,0.0,0,0.0,1,1.0,5.0,-0.021014365722108033
AU-RB,1,30.0,25556.4756399998,25556.4756399998,0.255564756399998,1.0,,inf,0.0,0,0.0,1,1.0,10.0,-0.017494747028515147
AU-SM,1,31.0,25435.11940999996,25435.11940999996,0.25435119409999957,1.0,,inf,0.0,0,0.0,1,1.0,10.0,-0.017411672328619572
AU-I,2,20.5,23671.227600000555,11835.613800000277,0.23671227600000555,0.5,6.062254932740077,,0.1220242131999966,0,0.0,1,1.0,8.0,-0.01620419593647924
AU-SF,1,30.0,20012.02232000008,20012.02232000008,0.2001202232000008,1.0,,inf,0.0,0,0.0,1,1.0,10.0,-0.013699278137922577
ZN-I,3,26.333333333333332,19921.09164100032,6640.36388033344,0.19921091641000319,0.6666666666666666,5.6032812466975885,,0.17391078720410766,0,0.0,2,3.6666666666666665,8.666666666666666,-0.013637031322334982
PB-SN,1,42.0,14826.526333800539,14826.526333800539,0.14826526333800538,1.0,,inf,0.0,0,0.0,1,11.0,3.0,-0.01014953435580449
PB-NI,2,16.0,2720.291511600517,1360.1457558002585,0.02720291511600517,0.5,1.9541493266097265,,0.09489087740600109,0,0.0,1,7.0,4.0,-0.001862182114218488
SS-HC,2,29.5,751.7590489997433,375.87952449987165,0.007517590489997433,0.5,2.2632669371779763,,0.015609499134334657,0,0.0,1,8.5,19.5,-0.0005146184698512574
PB-RB,1,30.0,-378.63617400087617,-378.63617400087617,-0.0037863617400087615,0.0,,,0.0037863617400087242,0,0.0,1,6.0,20.0,0.0002591963059891706
AG-I,1,33.0,-3248.993087999521,-3248.993087999521,-0.03248993087999521,0.0,,,0.03248993087999523,0,0.0,1,4.0,9.0,0.0022241060533003255
AU-CU,1,30.0,-4521.072251999528,-4521.072251999528,-0.04521072251999528,0.0,,,0.045210722519995326,0,0.0,1,1.0,1.0,0.0030949109126211126
AU-NI,1,30.0,-8699.061725799434,-8699.061725799434,-0.08699061725799434,0.0,,,0.08699061725799431,0,0.0,1,1.0,3.0,0.005954963682085417
PB-HC,1,30.0,-8760.947560001367,-8760.947560001367,-0.08760947560001367,0.0,,,0.08760947560001368,0,0.0,1,8.0,24.0,0.005997327779125343
RB-NI,1,8.0,-11145.531854401159,-11145.531854401159,-0.11145531854401158,0.0,,,0.11145531854401153,0,0.0,0,17.0,3.0,0.0076297007082549
SS-AG,2,27.5,-15954.312720000738,-7977.156360000369,-0.15954312720000738,0.0,-26.511460725020385,-26.511460725020385,0.15954312720000743,0,0.0,1,8.5,4.5,0.01092156324612201
AG-NI,1,22.0,-18834.960886200563,-18834.960886200563,-0.18834960886200564,0.0,,,0.1883496088620057,0,0.0,0,4.0,3.0,0.012893517894944721
SM-NI,1,8.0,-19039.05357200018,-19039.05357200018,-0.19039053572000178,0.0,,,0.19039053572000178,0,0.0,0,28.0,5.0,0.013033230035176063
SS-SF,2,20.5,-19480.918337999028,-9740.459168999514,-0.19480918337999029,0.5,-7.820803395252528,,0.22608250739998825,0,0.0,1,10.5,24.0,0.013335709626292483
PB-AL,3,13.333333333333334,-20697.77534599993,-6899.258448666643,-0.2069777534599993,0.0,-20.37698021216101,-20.37698021216101,0.20697775345999936,0,0.0,1,5.333333333333333,4.333333333333333,0.014168712025556475
CU-AL,1,21.0,-21228.592935999783,-21228.592935999783,-0.21228592935999782,0.0,,,0.21228592935999782,0,0.0,0,2.0,8.0,0.014532084486851516
RB-SN,1,6.0,-24520.358431200548,-24520.358431200548,-0.24520358431200548,0.0,,,0.24520358431200556,0,0.0,0,24.0,2.0,0.016785470494646633
CU-SM,1,27.0,-26820.747233998354,-26820.747233998354,-0.26820747233998354,0.0,,,0.2682074723399835,1,-26820.747233998354,0,2.0,20.0,0.01836020719696357
RB-SF,3,22.0,-28133.28970100007,-9377.76323366669,-0.2813328970100007,0.3333333333333333,-5.715042648838017,-48.4727142301822,0.3948040916900053,0,0.0,1,24.666666666666668,24.0,0.019258711307930977
SF-I,1,8.0,-29122.754494000095,-29122.754494000095,-0.29122754494000097,0.0,,,0.29122754494000097,1,-29122.754494000095,0,18.0,10.0,0.019936051818062354
HC-AG,1,7.0,-30263.092769999595,-30263.092769999595,-0.30263092769999594,0.0,,,0.30263092769999594,1,-30263.092769999595,0,23.0,6.0,0.020716673134810723
SM-SF,2,27.5,-34174.21294199964,-17087.10647099982,-0.34174212941999643,0.0,-230.10086503955435,-230.10086503955435,0.3417421294199963,0,0.0,0,21.5,22.5,0.02339403988017562
SS-NI,3,13.666666666666666,-35037.18083939784,-11679.060279799281,-0.3503718083939784,0.0,-27.498290389018244,-27.498290389018244,0.3503718083939784,0,0.0,1,10.0,4.333333333333333,0.023984786635376926
AL-I,1,8.0,-41777.35152499981,-41777.35152499981,-0.4177735152499981,0.0,,,0.4177735152499981,1,-41777.35152499981,0,5.0,9.0,0.028598786732051476
SF-NI,2,13.0,-43639.23265299851,-21819.616326499254,-0.43639232652998505,0.0,-82.59524959287951,-82.59524959287951,0.43639232652998516,1,-28227.5012480001,0,28.5,5.5,0.029873341948128365
PB-SS,3,19.666666666666668,-45266.42181000092,-15088.807270000305,-0.4526642181000092,0.0,-28.76465773296252,-28.76465773296252,0.4526642181000092,0,0.0,1,7.666666666666667,10.333333333333334,0.030987238209502697
PB-I,1,8.0,-45304.33973599982,-45304.33973599982,-0.4530433973599982,0.0,,,0.4530433973599982,1,-45304.33973599982,0,8.0,12.0,0.031013195017183897
PB-AG,1,10.0,-50032.13392199921,-50032.13392199921,-0.5003213392199921,0.0,,,0.5003213392199921,1,-50032.13392199921,0,8.0,6.0,0.03424961792823223
AL-SM,2,15.5,-55106.458369999935,-27553.229184999967,-0.5510645836999993,0.0,-19.59733172700741,-19.59733172700741,0.5510645836999994,1,-41980.2571999992,0,6.5,24.5,0.037723258965787404
RB-AG,2,14.0,-55607.49497300056,-27803.74748650028,-0.5560749497300056,0.0,-115.80752886906522,-115.80752886906522,0.5560749497300056,1,-30067.057810999675,0,26.0,6.5,0.03806624478061561
AG-SF,3,12.333333333333334,-57609.17461699912,-19203.058205666373,-0.5760917461699911,0.3333333333333333,4.225653097485472,52.7802143330849,0.893651557909998,2,-89365.1557909998,1,6.333333333333333,25.333333333333332,0.03943649940794275
NI-I,1,8.0,-63000.99335100059,-63000.99335100059,-0.6300099335100059,0.0,,,0.6300099335100059,1,-63000.99335100059,0,5.0,15.0,0.04312748192461363
ZN-SM,3,14.666666666666666,-65272.147671000355,-21757.382557000117,-0.6527214767100036,0.3333333333333333,-14.619740090240244,-19.639330023754525,0.6585644299076466,1,-41645.78734199908,1,6.0,26.0,0.044682206091232544
SM-AG,2,3.5,-66504.32225499877,-33252.161127499385,-0.6650432225499877,0.0,-75.53224637257185,-75.53224637257185,0.6650432225499877,2,-66504.32225499877,0,24.5,6.0,0.045525694174083794
RB-I,3,15.666666666666666,-67495.62059999965,-22498.540199999883,-0.6749562059999965,0.0,-171.40931988961515,-171.40931988961515,0.6749562059999965,1,-33228.87493199941,0,19.666666666666668,10.0,0.04620428984665894
PB-SM,2,16.0,-75288.27692900095,-37644.13846450047,-0.7528827692900094,0.0,-37.98704571390856,-37.98704571390856,0.7528827692900094,2,-75288.27692900095,0,8.0,24.0,0.05153877152857979
RB-SM,5,10.8,-79530.88014299738,-15906.176028599477,-0.7953088014299738,0.2,-4.59932575948799,-14.298640125416293,0.8351902310246436,4,-133996.44365099788,1,24.4,23.6,0.05444305578971093
HC-I,3,13.333333333333334,-84324.89703199931,-28108.299010666437,-0.8432489703199931,0.0,-48.27566119378266,-48.27566119378266,0.8432489703199931,1,-34063.90091800011,0,18.0,9.666666666666666,0.057724811611794956
SS-RB,2,17.0,-84579.0400400012,-42289.5200200006,-0.845790400400012,0.0,-20200.32265733427,-20200.32265733427,0.845790400400012,1,-60764.20224800095,0,10.5,24.5,0.057898785820785656
SN-I,2,6.5,-87828.29567320013,-43914.14783660007,-0.8782829567320013,0.0,-58.00577646152901,-58.00577646152901,0.8782829567320013,2,-87828.29567320013,0,2.0,13.0,0.06012307160003536
SS-SM,3,11.0,-99271.33067299906,-33090.44355766635,-0.9927133067299906,0.0,-30.240495932371832,-30.240495932371832,0.9927133067299906,3,-99271.33067299906,0,10.666666666666666,25.0,0.0679564288038978
SM-I,4,14.0,-111504.31334200007,-27876.078335500017,-1.1150431334200006,0.0,-9.341871730137353,-9.341871730137353,1.1150431334200006,1,-50734.62769599974,0,16.75,9.25,0.07633054658966242
HC-SM,4,16.0,-114618.75849600192,-28654.68962400048,-1.1461875849600192,0.0,-16.678316355087468,-16.678316355087468,1.1461875849600192,3,-95438.62106800123,1,19.0,20.0,0.07846254753028381
