pair,direction,open_date,close_date,holding_days,net_pnl,gross_pnl,open_commission,close_commission,total_commission,return_pct,close_reason,margin_released
AU-AL,long,2024-07-10,2024-07-11,1,726.4390999995778,1356.2999999995782,314.2362200000001,315.6246800000002,629.8609000000004,0.0038529353278645897,signal,188541.73200000005
SM-SF,short,2024-08-02,2024-08-08,6,48312.2283759988,49004.2799999988,355.2719439999999,336.7796800000001,692.051624,0.22664435508215838,stop_loss,213163.16639999993
AU-AG,long,2024-08-06,2024-08-08,2,-2706.06723200102,-1928.8000000010197,387.94129600000014,389.32593599999984,777.2672319999999,-0.011625759102828362,signal,232764.77760000006
PB-SM,short,2024-08-05,2024-08-08,3,9343.138614000161,10097.130000000161,381.67698600000017,372.31440000000003,753.9913860000001,0.04079862884371096,signal,229006.19160000008
SS-SF,long,2024-08-08,2024-08-09,1,-567.6447570005721,161.9249999994281,364.2904710000002,365.27928599999996,729.5697570000002,-0.002597033604540683,signal,218574.2826000001
SN-SF,long,2024-08-08,2024-08-13,5,-70920.02959440215,-70128.77200000215,389.09616199999994,402.1614324000003,791.2575944000002,-0.303781072309841,signal,233457.69719999994
CU-SF,long,2024-08-08,2024-08-14,6,-38078.47257499853,-37298.92499999853,386.78125500000016,392.7663199999999,779.547575,-0.16408272153295242,signal,232068.75300000008
AG-SF,long,2024-08-08,2024-08-15,7,-47705.61772400183,-47020.14000000183,343.957528,341.52019599999994,685.477724,-0.2311604090646226,signal,206374.5168
AU-HC,long,2024-08-14,2024-08-19,5,14036.93358000016,14763.00000000016,361.52090999999996,364.5455099999999,726.0664199999999,0.06471240985756611,signal,216912.54599999997
PB-HC,long,2024-08-14,2024-08-19,5,12912.414816001698,13669.760000001697,376.9696159999998,380.37556800000016,757.345184,0.05708866297596473,signal,226181.76959999985
PB-HC,short,2024-08-21,2024-08-27,6,-16281.323519998467,-15506.399999998466,386.24712000000034,388.6764,774.9235200000003,-0.07025434700975226,signal,231748.27200000017
SS-HC,short,2024-08-26,2024-08-27,1,-720.9581360002892,-16.600000000289583,351.6721439999999,352.6859919999997,704.3581359999996,-0.003416809985762807,signal,211003.2863999999
AU-HC,short,2024-08-21,2024-08-28,7,1024.8288420004644,1758.1500000004644,366.872394,366.4487639999999,733.321158,0.0046557007230169905,signal,220123.43639999998
AU-ZN,long,2024-09-05,2024-09-09,4,4487.057289999824,5032.7099999998245,272.75388399999997,272.8988259999998,545.6527099999998,0.027418230336424373,signal,163652.33039999998
CU-ZN,long,2024-09-05,2024-09-09,4,-6575.869858000764,-5926.070000000764,323.7024740000001,326.097384,649.7998580000001,-0.03385758212236567,signal,194221.48440000004
AU-AG,long,2024-09-02,2024-09-10,8,-24681.07280799953,-23921.599999999533,380.9791639999999,378.49364399999996,759.4728079999999,-0.10797210250234551,signal,228587.49839999992
HC-I,short,2024-09-06,2024-09-18,12,34166.020864000544,34731.44000000054,280.024344,285.394792,565.419136,0.20335149184982138,stop_loss,168014.6064
AU-AL,long,2024-09-23,2024-09-25,2,9926.480760002134,10563.600000002134,316.6388599999999,320.4803800000002,637.1192400000001,0.05224922361078347,signal,189983.31599999993
SS-HC,short,2024-09-24,2024-09-25,1,-2952.0441629991137,-2236.0049999991134,357.35859000000005,358.68057300000004,716.0391630000001,-0.013767889572763656,signal,214415.154
AG-SN,long,2024-09-25,2024-09-27,2,-5591.437368600798,-5000.661000000799,294.36017640000017,296.41619220000007,590.7763686000003,-0.031658705994039915,signal,176616.10584000006
SM-I,short,2024-09-30,2024-10-08,8,47448.22014899989,48141.854999999894,355.00859999999983,338.6262509999999,693.6348509999998,0.22275620059626686,stop_loss,213005.1599999999
AL-I,short,2024-09-30,2024-10-08,8,70062.98209399985,70785.98999999985,368.90575399999983,354.1021519999998,723.0079059999996,0.3165351463271921,stop_loss,221343.4523999999
ZN-I,short,2024-09-30,2024-10-08,8,49140.70905000013,49689.85000000013,279.7287699999998,269.4121799999999,549.1409499999997,0.29278783784020596,stop_loss,167837.2619999999
SN-I,short,2024-09-30,2024-10-08,8,34885.93988819998,35312.58499999998,217.04049739999985,209.6046143999999,426.64511179999977,0.2678911716638925,stop_loss,130224.29843999991
PB-I,short,2024-09-30,2024-10-08,8,51651.893731999866,52300.21999999986,330.4814319999999,317.84483599999993,648.3262679999998,0.2604881279784975,stop_loss,198288.85919999995
NI-I,short,2024-09-30,2024-10-08,8,55218.36625960019,55837.57000000019,315.6144331999999,303.5893071999999,619.2037403999998,0.29159189426026233,stop_loss,189368.65991999992
AG-SF,short,2024-09-30,2024-10-08,8,19020.157836000006,19743.780000000006,365.4698640000001,358.1523000000002,723.6221640000003,0.08673837758617495,signal,219281.91840000002
CU-SF,short,2024-09-30,2024-10-08,8,-30109.655932000518,-29431.380000000518,342.52802000000014,335.74791200000004,678.2759320000002,-0.14650702119688636,signal,205516.81200000006
AG-I,short,2024-09-30,2024-10-08,8,13937.306841000669,14643.855000000669,358.25837399999983,348.289785,706.5481589999998,0.06483824641877353,signal,214955.02439999988
CU-I,short,2024-09-30,2024-10-08,8,-18988.211360000507,-18235.560000000507,380.9313160000001,371.720044,752.6513600000001,-0.08307801854057642,signal,228558.78960000002
SS-RB,short,2024-09-30,2024-10-08,8,11794.245696000664,12384.690000000664,296.38025100000016,294.0640530000001,590.4443040000003,0.06632383937079903,signal,177828.15060000008
SM-SF,short,2024-09-30,2024-10-08,8,7178.845571999662,7872.5399999996625,351.65712000000013,342.0373080000001,693.6944280000002,0.034023888439965136,signal,210994.27200000006
PB-HC,short,2024-09-24,2024-10-08,14,-70411.6815680007,-69653.4400000007,372.49144000000007,385.75012800000025,758.2415680000004,-0.31504832060928567,signal,223494.864
AU-SS,short,2024-09-30,2024-10-09,9,-17021.80488799997,-16490.77999999997,267.13736599999993,263.8875219999999,531.0248879999998,-0.10619882661167399,signal,160282.41959999994
AU-RB,short,2024-09-30,2024-10-09,9,25440.439380000396,26195.280000000395,380.075838,374.7647819999999,754.84062,0.11155861031082083,signal,228045.50279999996
AU-SF,short,2024-09-30,2024-10-09,9,-22473.737909999974,-21720.869999999974,379.14586799999995,373.72204199999993,752.8679099999999,-0.09879108019185895,signal,227487.52079999994
AU-I,short,2024-09-30,2024-10-09,9,23611.843040000073,24150.800000000072,271.96555999999987,266.99139999999994,538.9569599999998,0.14469873219731746,signal,163179.33599999992
SN-SF,short,2024-09-30,2024-10-09,9,-980.437296000063,-264.2040000000634,359.22272039999984,357.01057559999987,716.2332959999997,-0.004548883094534089,signal,215533.6322399999
AU-HC,short,2024-09-24,2024-10-09,15,6145.8279480001165,6898.020000000117,376.8218279999999,375.3702239999999,752.1920519999999,0.027182731516286255,signal,226093.0967999999
PB-SS,short,2024-09-30,2024-10-09,9,-8692.61508800034,-7998.280000000341,347.78581200000013,346.54927599999996,694.335088,-0.04165693744094971,signal,208671.48720000006
CU-AL,short,2024-10-08,2024-10-14,6,-9336.883408000289,-8891.33000000029,221.77228299999993,223.781125,445.55340799999993,-0.0701686979822774,signal,133063.36979999996
SS-HC,long,2024-10-17,2024-10-18,1,22330.7374410014,23080.635000001403,372.3345629999997,377.5629960000002,749.897559,0.09995820811027518,stop_loss,223400.73779999983
AU-RB,long,2024-10-17,2024-10-18,1,14594.841120000836,15376.620000000836,389.3157779999998,392.463102,781.7788799999998,0.062480733056756325,signal,233589.46679999988
AU-HC,long,2024-10-17,2024-10-18,1,15681.655404000932,16465.200000000932,390.0897779999998,393.454818,783.5445959999997,0.06700019793905383,signal,234053.86679999987
PB-RB,long,2024-10-17,2024-10-18,1,16201.892160000894,16996.430000000895,395.212277,399.3255630000002,794.5378400000002,0.06832569525668226,signal,237127.36619999996
HC-I,short,2024-10-17,2024-10-21,4,7461.188246001822,8074.9100000018225,302.92054599999983,310.8012080000002,613.721754,0.0410514040976817,signal,181752.32759999987
PB-HC,long,2024-10-17,2024-10-21,4,22720.409441001033,23525.025000001035,399.59827699999994,405.01728200000014,804.6155590000001,0.09476354440921442,signal,239758.96619999994
