pair,num_trades,avg_holding_days,total_pnl,avg_pnl,total_return,win_rate,sharpe_ratio,sortino_ratio,max_drawdown,stop_loss_count,stop_loss_pnl,time_stop_count,avg_lots_x,avg_lots_y,contribution
CU-SF,1,31.0,57910.884272001014,57910.884272001014,0.5791088427200102,1.0,,inf,0.0,0,0.0,1,2.0,20.0,-0.04085490268769687
SN-SF,2,18.5,43826.34317220071,21913.171586100354,0.4382634317220071,0.5,6.2707317757512575,,0.29239218488999674,1,-29239.218488999675,1,2.5,25.0,-0.03091855715840893
AU-HC,1,33.0,36263.79159999943,36263.79159999943,0.3626379159999943,1.0,,inf,0.0,0,0.0,1,1.0,10.0,-0.025583337148612724
AU-PB,1,33.0,30697.964639999875,30697.964639999875,0.30697964639999875,1.0,,inf,0.0,0,0.0,1,1.0,5.0,-0.02165676407541789
SS-SF,1,32.0,30534.953118000634,30534.953118000634,0.30534953118000635,1.0,,inf,0.0,0,0.0,1,9.0,21.0,-0.021541762898143996
AU-I,2,22.0,29394.62700000031,14697.313500000155,0.2939462700000031,0.5,6.627118672706593,,0.1220242131999966,0,0.0,1,1.0,8.0,-0.020737286966394722
AU-RB,1,30.0,25556.4756399998,25556.4756399998,0.255564756399998,1.0,,inf,0.0,0,0.0,1,1.0,10.0,-0.018029552448355492
AU-SM,1,31.0,25435.11940999996,25435.11940999996,0.25435119409999957,1.0,,inf,0.0,0,0.0,1,1.0,10.0,-0.017943938197605976
AU-SF,1,33.0,24756.1259,24756.1259,0.24756125899999998,1.0,,inf,0.0,0,0.0,1,1.0,10.0,-0.017464922652853918
PB-SN,1,37.0,19140.52478900151,19140.52478900151,0.1914052478900151,1.0,,inf,0.0,0,0.0,1,11.0,3.0,-0.013503234970013801
CU-ZN,1,30.0,8390.901771999741,8390.901771999741,0.08390901771999741,1.0,,inf,0.0,0,0.0,1,2.0,7.0,-0.005919603536822793
SN-I,1,31.0,7246.797522000405,7246.797522000405,0.07246797522000405,1.0,,inf,0.0,0,0.0,1,2.0,14.0,-0.005112462212943847
SS-HC,4,19.5,3292.54458300075,823.1361457501876,0.032925445830007505,0.5,2.3444377265922993,176.8427537431725,0.23754480570000713,1,-28269.2233800003,2,11.25,25.5,-0.0023228204891776404
PB-NI,2,16.0,2720.291511600517,1360.1457558002585,0.02720291511600517,0.5,1.9541493266097265,,0.09489087740600109,0,0.0,1,7.0,4.0,-0.0019191080638072734
AU-CU,1,33.0,-2389.2610259998796,-2389.2610259998796,-0.023892610259998795,0.0,,,0.023892610259998764,0,0.0,1,1.0,1.0,0.0016855730652333726
AG-I,1,33.0,-3248.993087999521,-3248.993087999521,-0.03248993087999521,0.0,,,0.03248993087999523,0,0.0,1,4.0,9.0,0.0022920958315844012
AG-SF,2,16.5,-4240.6009319995865,-2120.3004659997932,-0.042406009319995865,0.5,1.785698454477672,,0.3599658210600027,1,-35996.58210600027,1,6.0,24.0,0.002991654169887422
RB-NI,1,8.0,-11145.531854401159,-11145.531854401159,-0.11145531854401158,0.0,,,0.11145531854401153,0,0.0,0,17.0,3.0,0.007862936735268248
SS-AG,2,27.0,-12464.757924000794,-6232.378962000397,-0.12464757924000794,0.0,-12.879325315718503,-12.879325315718503,0.12464757924000791,0,0.0,1,9.5,5.0,0.00879362279496332
RB-SF,3,23.333333333333332,-12876.7516359986,-4292.250545332867,-0.128767516359986,0.3333333333333333,-3.3257186867642057,-11.900283989549227,0.24644134787999078,0,0.0,2,24.666666666666668,24.0,0.0090842756354994
AU-AG,1,31.0,-14414.105904000025,-14414.105904000025,-0.14414105904000024,0.0,,,0.14414105904000024,0,0.0,1,1.0,4.0,0.010168846520666847
SF-NI,1,10.0,-15667.740017999206,-15667.740017999206,-0.15667740017999204,0.0,,,0.1566774001799921,0,0.0,0,26.0,5.0,0.011053258844485847
AU-NI,1,33.0,-16197.89824419994,-16197.89824419994,-0.1619789824419994,0.0,,,0.1619789824419994,0,0.0,1,1.0,3.0,0.01142727424785597
AG-NI,1,22.0,-18834.960886200563,-18834.960886200563,-0.18834960886200564,0.0,,,0.1883496088620057,0,0.0,0,4.0,3.0,0.013287666106392749
HC-I,2,25.0,-18979.883947999475,-9489.941973999737,-0.18979883947999474,0.0,-19.96265046975979,-19.96265046975979,0.18979883947999465,0,0.0,1,17.5,9.5,0.013389906257988228
SM-NI,1,8.0,-19039.05357200018,-19039.05357200018,-0.19039053572000178,0.0,,,0.19039053572000178,0,0.0,0,28.0,5.0,0.013431649174902815
RB-I,1,19.0,-21138.324943998905,-21138.324943998905,-0.21138324943998904,0.0,,,0.211383249439989,0,0.0,0,22.0,11.0,0.014912640679284698
CU-AL,1,21.0,-21228.592935999783,-21228.592935999783,-0.21228592935999782,0.0,,,0.21228592935999782,0,0.0,0,2.0,8.0,0.014976322836367432
PB-AL,3,17.666666666666668,-22078.395730999644,-7359.465243666548,-0.22078395730999645,0.0,-20.129163898560698,-20.129163898560698,0.22078395730999648,0,0.0,1,5.333333333333333,4.333333333333333,0.015575840715085752
RB-SN,1,6.0,-24520.358431200548,-24520.358431200548,-0.24520358431200548,0.0,,,0.24520358431200556,0,0.0,0,24.0,2.0,0.017298593695598066
PB-SS,2,27.5,-24794.24750699957,-12397.123753499785,-0.2479424750699957,0.0,-24.7323282053258,-24.7323282053258,0.2479424750699957,0,0.0,1,5.0,7.0,0.01749181663943079
CU-SM,1,27.0,-26820.747233998354,-26820.747233998354,-0.26820747233998354,0.0,,,0.2682074723399835,1,-26820.747233998354,0,2.0,20.0,0.018921469289083188
SF-I,1,8.0,-29122.754494000095,-29122.754494000095,-0.29122754494000097,0.0,,,0.29122754494000097,1,-29122.754494000095,0,18.0,10.0,0.02054548666985756
HC-AG,1,7.0,-30263.092769999595,-30263.092769999595,-0.30263092769999594,0.0,,,0.30263092769999594,1,-30263.092769999595,0,23.0,6.0,0.021349971178817827
SM-AG,1,3.0,-30922.886574998647,-30922.886574998647,-0.3092288657499865,0.0,,,0.3092288657499864,1,-30922.886574998647,0,28.0,7.0,0.021815441738213415
SS-NI,2,13.0,-31219.256149799337,-15609.628074899669,-0.31219256149799335,0.0,-119.82290684899064,-119.82290684899064,0.3121925614979933,0,0.0,0,10.5,4.5,0.022024524198104817
AL-I,1,8.0,-41777.35152499981,-41777.35152499981,-0.4177735152499981,0.0,,,0.4177735152499981,1,-41777.35152499981,0,5.0,9.0,0.029473036935282765
