pair,n_points,residual_mean,residual_std,zscore_mean,zscore_std,adf_residual_pvalue,kpss_residual_pvalue,adf_zscore_pvalue,kpss_zscore_pvalue,ljung_box_min_pvalue,variance_cv,levene_pvalue,residual_stationary,zscore_stationary,no_autocorr,variance_stable,quality_score,quality
AU-ZN,279,-0.20277219749736802,0.205394545534198,-0.780324501506069,0.6621662011071563,0.8534598527874137,0.01,0.023102611617411492,0.01,0.0,1.4326710967222362,1.0700812211958489e-07,False,False,False,False,0,差
CU-SN,279,0.0001585644544754945,0.023876964368040692,-0.044623291501778364,0.8889430457856468,0.00022117486001985905,0.1,0.17462126309558862,0.03610934000203451,6.270421829963294e-179,0.7940279704063867,2.113698941636048e-07,True,False,False,False,1,一般
ZN-SM,279,-0.000330883386876664,0.051671546499485195,0.10481744347894693,0.9084008024838697,0.06189684632909322,0.01,0.024248488054593634,0.04822113999002455,0.0,1.3337490264770857,0.00585307096598142,False,False,False,False,0,差
RB-SM,279,-0.006214950640275845,0.029739890393417786,-0.2278977632248854,0.8806343427515307,0.002989979566048975,0.027809069575522587,2.373651093588237e-05,0.1,4.6329700158618855e-228,0.9886645250016746,0.0648736662554378,False,True,False,True,2,良好
SS-NI,279,0.005254618999573875,0.02434928858434964,0.28938898074996267,0.8677156531401714,0.015615760704108559,0.023157495945442755,0.0026440677238571937,0.1,3.6599289961901265e-294,0.730377494729581,1.4271407814609857e-05,False,True,False,False,1,一般
