date,kalman_beta,ols_beta,beta_diff
2021-04-19,0.794607920608537,-0.15543430906639727,0.9500422296749342
2021-04-20,0.7800354385924992,-0.14145785252069495,0.9214932911131942
2021-04-21,0.7779004210416942,-0.11960581814015543,0.8975062391818497
2021-04-22,0.7784089427720404,-0.09067196086119922,0.8690809036332396
2021-04-23,0.8100891562536487,-0.05158576346928673,0.8616749197229354
2021-04-26,0.7718664123125245,-0.03674224646045563,0.8086086587729802
2021-04-27,0.7493220430037691,-0.027105309634585323,0.7764273526383545
2021-04-28,0.7610151025477231,-0.027325035675870888,0.788340138223594
2021-04-29,0.7761421791326578,-0.009346350818509272,0.7854885299511671
2021-04-30,0.7421124224585428,-0.025800420964349945,0.7679128434228928
2021-05-06,0.7446654552953852,-0.03171496824937019,0.7763804235447553
2021-05-07,0.7553255578780952,-0.025650168846806626,0.7809757267249018
2021-05-10,0.7417950300149978,0.003945851436125081,0.7378491785788728
2021-05-11,0.7117333464265674,0.008079638402614112,0.7036537080239532
2021-05-12,0.7306051863862473,0.0784807717208909,0.6521244146653564
2021-05-13,0.689298755420904,0.03032553723249402,0.65897321818841
2021-05-14,0.7055224573679928,-0.02703195800259614,0.732554415370589
2021-05-17,0.7221784379667795,-0.05996325379329537,0.7821416917600749
2021-05-18,0.766525335421701,-0.03495477338448597,0.8014801088061869
2021-05-19,0.8089853944399994,0.00042344288486263315,0.8085619515551368
2021-05-20,0.8552989395821414,0.020169190051201675,0.8351297495309398
2021-05-21,0.8596167004897518,0.046627423203995724,0.8129892772857561
2021-05-24,0.8684409109502033,0.07446899111106288,0.7939719198391404
2021-05-25,0.8483589804581475,0.11039005038851457,0.7379689300696329
2021-05-26,0.8858669269152372,0.13205703131040497,0.7538098956048322
2021-05-27,0.8367423952383868,0.17486470716286512,0.6618776880755217
2021-05-28,0.8769840915673764,0.2228065404416173,0.6541775511257591
2021-05-31,0.9221424019156592,0.24237984150376174,0.6797625604118975
2021-06-01,0.9042286654560739,0.2566217034183499,0.647606962037724
2021-06-02,0.925657455767612,0.24950814029099264,0.6761493154766194
2021-06-03,0.9007861020473676,0.3032937743652495,0.5974923276821181
2021-06-04,0.9139874272414039,0.3394948226944572,0.5744926045469467
2021-06-07,0.9469419063874885,0.34002123730974504,0.6069206690777436
2021-06-08,0.9156519022681148,0.35472332213314894,0.5609285801349658
2021-06-09,0.909667871921005,0.34928141796654244,0.5603864539544625
2021-06-10,0.8593921477594455,0.3471322953924994,0.5122598523669462
2021-06-11,0.8329714120021519,0.3443980226578579,0.48857338934429395
2021-06-15,0.8304368750637421,0.3298408146093247,0.5005960604544174
2021-06-16,0.8341636343015529,0.31391020231767003,0.520253431983883
2021-06-17,0.81927245522678,0.30467290471245523,0.5145995505143248
2021-06-18,0.8090966388979054,0.28548048059467124,0.5236161583032342
2021-06-21,0.8552330494807512,0.269907684159776,0.5853253653209751
2021-06-22,0.8703882747935842,0.24050443732519045,0.6298838374683937
2021-06-23,0.8814939237626258,0.20649888821733553,0.6749950355452903
2021-06-24,0.8962036717484189,0.17031519953555618,0.7258884722128627
2021-06-25,0.8860353242657507,0.1431134514132559,0.7429218728524948
2021-06-28,0.8994515373017051,0.11398304781318322,0.7854684894885219
2021-06-29,0.8886773565918183,0.08426682193656969,0.8044105346552487
2021-06-30,0.8713117635900754,0.05308946930808624,0.8182222942819892
2021-07-01,0.8059517006910871,0.03139727286579009,0.774554427825297
2021-07-02,0.8090678481844843,0.026938617340007995,0.7821292308444763
2021-07-05,0.8066026875373369,0.023050250449306763,0.7835524370880301
2021-07-06,0.8096958020404132,0.015315516612652826,0.7943802854277604
2021-07-07,0.7991386979565819,0.007916521261464672,0.7912221766951172
2021-07-08,0.7723161184679024,-0.022437612858971025,0.7947537313268734
2021-07-09,0.7717688640917372,-0.0807027548298887,0.8524716189216259
2021-07-12,0.7746878880849097,-0.1222777789370052,0.8969656670219149
2021-07-13,0.7554132600564751,-0.1673794738146411,0.9227927338711163
2021-07-14,0.8102669446320135,-0.16163862057312134,0.9719055652051349
2021-07-15,0.8389758317165389,-0.13228867274423617,0.9712645044607751
2021-07-16,0.8600199666302317,-0.08872782570910717,0.9487477923393389
2021-07-19,0.8505951769675961,-0.0517432092253964,0.9023383861929926
2021-07-20,0.8419399603418721,-0.015038577194772012,0.8569785375366441
2021-07-21,0.8207361392860345,0.0010410951881336338,0.8196950440979008
2021-07-22,0.7948937235843712,0.022651667375227162,0.772242056209144
2021-07-23,0.8038081580483094,0.06015528336351632,0.7436528746847931
2021-07-26,0.8017306878192874,0.10762709009419914,0.6941035977250882
2021-07-27,0.8121031256035093,0.1430625313036877,0.6690405942998215
2021-07-28,0.8481902730397761,0.19947066567671784,0.6487196073630583
2021-07-29,0.8325966895002334,0.2748950227004895,0.5577016667997439
2021-07-30,0.8283040705151767,0.34215157297560617,0.48615249753957057
2021-08-02,0.8651714411589242,0.359435320803122,0.5057361203558022
2021-08-03,0.8856304145560187,0.3385969623935272,0.5470334521624914
2021-08-04,0.8505152426868766,0.368700900389491,0.4818143422973856
2021-08-05,0.8542365588300592,0.3474509837582149,0.5067855750718443
2021-08-06,0.871453872393719,0.4366206861619734,0.43483318623174555
2021-08-09,0.8871199247633264,0.5195479268161823,0.367571997947144
2021-08-10,0.870614429001156,0.6017859818415162,0.2688284471596398
2021-08-11,0.8376518574447832,0.6388102678437768,0.1988415896010064
2021-08-12,0.8567217444724301,0.6510408246849262,0.2056809197875039
2021-08-13,0.8417729062973408,0.6554980700601687,0.18627483623717211
