date,kalman_beta,ols_beta,z_score
2021-04-19,0.09828332249384157,-0.2188369096000379,8.368829622550246
2021-04-20,0.10157404343426497,-0.19590517004969116,8.064985696909606
2021-04-21,0.10504403799552531,-0.1600208961750598,7.373005705904223
2021-04-22,0.10850731522929578,-0.11328863054035647,6.648300276491202
2021-04-23,0.11197655537480582,-0.054113931067503084,6.17353959381635
2021-04-26,0.11540461268871857,-0.03088427290339133,5.804132997374703
2021-04-27,0.11861838828346842,-0.014548769373511367,5.245866244988331
2021-04-28,0.12131100808920893,-0.013982878342161173,4.2737390981198065
2021-04-29,0.1239077582621094,0.012327625670652204,4.031828869170076
2021-04-30,0.12604691448118005,-0.011621042791810378,3.2853115139426468
2021-05-06,0.12863971886560696,-0.02475962756578908,3.9273775649840292
2021-05-07,0.13089723809505013,-0.021243824340248692,3.3918789424308917
2021-05-10,0.13373048876818577,0.0033554035022654418,4.226754485309464
2021-05-11,0.1363935349469567,-0.004979103117303631,3.9673215631616623
2021-05-12,0.13884798418516567,0.08191584316557728,3.6388556618604206
2021-05-13,0.14035873080866862,0.0071339270809891815,2.2494283576709373
2021-05-14,0.14090234278154787,-0.07955896157503616,0.8084385406133134
2021-05-17,0.1411916070609281,-0.12774193740777703,0.42895073955974244
2021-05-18,0.1413952846231079,-0.09044781623682803,0.30060993012263376
2021-05-19,0.14066034500381577,-0.03789827954752975,-1.0846969405331601
2021-05-20,0.13960039879415542,-0.006373058964589138,-1.5615079171892319
2021-05-21,0.1384724699157384,0.033697961640609446,-1.6633274684265458
2021-05-24,0.13707939125363544,0.07504044847178766,-2.0566833842732604
2021-05-25,0.13575751467803593,0.1256962821569093,-1.9550313032978026
2021-05-26,0.1337716595992162,0.15552889575659284,-2.936621425683605
2021-05-27,0.1326367467162111,0.2145282207058032,-1.6797038204339176
2021-05-28,0.13196782886591246,0.28110421144742215,-0.9853933630351093
2021-05-31,0.13161472603434335,0.3121400848084121,-0.5184233056297738
2021-06-01,0.1316534132493387,0.3353250418009971,0.05687953807375442
2021-06-02,0.13127103632354076,0.328963090848379,-0.5628031123941716
2021-06-03,0.13142336708048843,0.40562710074157243,0.2243553748141401
2021-06-04,0.1315614752307384,0.45920740524729803,0.20332681675241232
2021-06-07,0.13103482941123026,0.4660389827645649,-0.7759928935978572
2021-06-08,0.13076906711238484,0.4909986045375223,-0.3923093925051579
2021-06-09,0.13064542441280888,0.4868493720231116,-0.18250412586665793
2021-06-10,0.13100531581955738,0.4857089799403007,0.5321260287387741
2021-06-11,0.13180490390665053,0.48294946166196456,1.1817212716820935
2021-06-15,0.13203635840488698,0.462541142276169,0.34254145991693946
2021-06-16,0.13176358628853882,0.4396194692519994,-0.40393824571749093
2021-06-17,0.1318105279877507,0.42680359097255527,0.06945284025623039
2021-06-18,0.13175135875847635,0.39866094907192445,-0.08757613381705592
2021-06-21,0.13111790591463843,0.37620155247977594,-0.9356607713281239
2021-06-22,0.1305436696021909,0.3332739793838497,-0.8472033009236235
2021-06-23,0.13018973717406837,0.28434652916259157,-0.5215630618272323
2021-06-24,0.1298615044644417,0.23295569979003203,-0.48344408308209624
2021-06-25,0.12999723169407898,0.19540961306764743,0.19985338869970187
2021-06-28,0.13010893270925125,0.15559618827161267,0.1644262857862026
2021-06-29,0.13012839151945754,0.11428192089886903,0.028692519201704
2021-06-30,0.1304944319561851,0.0703969174558006,0.53981529827614
2021-07-01,0.13090012309776014,0.03942960246266838,0.6009898326037179
2021-07-02,0.13117590756055944,0.03370613135054226,0.4081155720339156
2021-07-05,0.13169822319371452,0.029251405968588527,0.7717016498778245
2021-07-06,0.1324058079444288,0.01962713217778049,1.0438713018793357
2021-07-07,0.13339418618723203,0.010652937320217269,1.4573660674139322
2021-07-08,0.1341631328143941,-0.03160872063400151,1.136662241088415
2021-07-09,0.13491409187184278,-0.1162264346432144,1.1092183895946426
2021-07-12,0.13555288918968686,-0.17587132699643465,0.9430978384839638
2021-07-13,0.13619825028668875,-0.24055955289386316,0.9537482788251781
2021-07-14,0.13700209137962416,-0.2323418822298882,1.1814242806025181
2021-07-15,0.1375463696920039,-0.1905623213299819,0.7995385343718555
2021-07-16,0.13801120384996482,-0.12980427654375748,0.6826433511351185
2021-07-19,0.1384381839379933,-0.07703526686313458,0.6282491708674385
2021-07-20,0.13891113144550718,-0.02457174228148118,0.696605240396838
2021-07-21,0.13926123440151877,-0.00023678760715160741,0.5168488916242767
2021-07-22,0.13987189322866425,0.03082519592142068,0.9021326338094184
2021-07-23,0.14043647666342915,0.0846358391892095,0.8331035220716885
2021-07-26,0.14098577184659444,0.15312054284718135,0.8104813899220727
2021-07-27,0.14125673235491631,0.2050586943671781,0.3997880088778961
2021-07-28,0.14151761534100576,0.28387927228959686,0.38385586472181804
2021-07-29,0.14200228149596947,0.39127279692141603,0.7138338143941376
2021-07-30,0.14239723565892062,0.48480751653014625,0.5822386428424003
2021-08-02,0.14176257883096394,0.5101987573365855,-0.936718167483919
2021-08-03,0.14069019283815865,0.4814579424452804,-1.5835542533088127
2021-08-04,0.14046586583074738,0.5222397387852266,-0.33118106849455553
2021-08-05,0.14004929816859593,0.49389358980986187,-0.6152640237480905
2021-08-06,0.13967045633423122,0.6195136473211666,-0.5587675316011294
2021-08-09,0.13916809655085552,0.7421148017473549,-0.7407308058106887
2021-08-10,0.139130451858427,0.8633620402602323,-0.05550405977222
2021-08-11,0.1394018832597253,0.9157985922364126,0.40080680705038696
2021-08-12,0.1392308640639453,0.9341401529483526,-0.25251263073529456
2021-08-13,0.1392203274611356,0.9409733220961899,-0.015564246243296212
2021-08-16,0.13883718987887522,0.937137742729584,-0.5666983039318141
2021-08-17,0.1384763541226205,0.9114845917589365,-0.5316847055765721
2021-08-18,0.13753351307588593,0.8357348713941145,-1.3884586817409625
2021-08-19,0.13633364232031656,0.6895708380859094,-1.7677309610755878
2021-08-20,0.13558294064821114,0.5794427091133472,-1.1067872000407784
2021-08-23,0.13492739420052935,0.4795822620292382,-0.9648626865305141
2021-08-24,0.13485984923631616,0.4909830996692088,-0.09987934581716952
2021-08-25,0.13476440953559005,0.4928103687343676,-0.14095777276687216
2021-08-26,0.13431041705530292,0.4925829409140691,-0.6704705870087955
