交易序号,配对,品种X,品种Y,方向,开仓日期,开仓Z值,开仓Beta,开仓价格X,开仓价格Y,平仓日期,平仓Z值,平仓价格X,平仓价格Y,平仓原因,手数X,手数Y,乘数X,乘数Y,持仓天数,毛盈亏,手续费,净盈亏,收益率,保证金
29,SS-HC,SS,HC,long,2025-01-08,-2.5878,0.859521,13019.72,3319.15,2025-01-16,-0.2994,13201.72,3449.11,stop_loss,12,27,5,10,8,-27589.08,680.14,-28269.22,-14.04%,201282.45
30,RB-NI,RB,NI,short,2025-01-08,2.7025,1.449004,3209.63,125445.11,2025-01-16,0.4296,3328.38,128984.19,signal,17,3,10,1,8,-10770.58,374.95,-11145.53,-10.07%,110636.65
31,RB-SF,RB,SF,short,2025-01-09,2.3929,1.080202,3204.34,6301.27,2025-01-16,0.4234,3328.38,6440.05,signal,22,20,10,5,7,-15930.90,542.27,-16473.17,-10.28%,160209.84
32,SN-SF,SN,SF,short,2025-01-15,2.1221,0.704604,244576.72,6461.16,2025-01-20,0.2118,248674.60,6365.93,stop_loss,3,30,1,5,5,-28558.45,680.76,-29239.22,-14.31%,204348.52
33,AU-PB,AU,PB,long,2025-01-03,-2.1837,1.517235,629.36,16687.36,2025-02-05,N/A,671.25,17085.32,time_stop,1,5,1000,5,33,31126.95,428.99,30697.96,24.44%,125585.51
34,AU-HC,AU,HC,long,2025-01-03,-2.1805,1.268145,629.36,3374.33,2025-02-05,N/A,671.25,3419.99,time_stop,1,10,1000,10,33,36659.80,396.01,36263.79,31.26%,116015.39
35,PB-RB,PB,RB,short,2025-01-17,2.0765,0.831723,16678.52,3373.61,2025-02-05,-0.0267,17085.32,3324.10,stop_loss,9,27,5,10,19,-34642.44,665.55,-35307.99,-17.71%,199368.82
36,SF-NI,SF,NI,long,2025-01-27,-2.3209,1.341648,6406.75,124393.63,2025-02-06,-0.4966,6427.47,127576.61,signal,26,5,5,1,10,-15082.08,585.66,-15667.74,-8.97%,174581.54
37,AU-RB,AU,RB,long,2025-01-08,-2.1198,1.260685,629.38,3209.63,2025-02-07,N/A,670.65,3356.32,time_stop,1,10,1000,10,30,25947.80,391.32,25556.48,22.41%,114040.54
38,AG-SF,AG,SF,long,2025-02-05,-3.7083,0.977430,8119.31,6289.93,2025-02-07,-0.3797,8067.00,6529.17,stop_loss,6,24,15,5,2,-35397.57,599.01,-35996.58,-20.19%,178263.51
39,CU-SM,CU,SM,short,2025-01-15,3.0032,0.778638,75289.41,6692.20,2025-02-11,0.4489,77264.75,6645.25,stop_loss,2,20,5,5,27,-26248.89,571.86,-26820.75,-15.72%,170653.70
40,PB-SM,PB,SM,short,2025-01-14,2.2489,0.897239,16518.72,6458.76,2025-02-12,0.2246,17154.77,6445.64,stop_loss,9,27,5,5,29,-33363.63,651.48,-34015.11,-17.55%,193833.03
41,ZN-SM,ZN,SM,short,2025-01-15,3.2547,0.863823,23544.96,6692.20,2025-02-12,N/A,23770.03,6445.64,stop_loss,6,24,5,5,28,-38679.24,599.20,-39278.44,-21.69%,181129.55
42,RB-SM,RB,SM,short,2025-01-15,2.7614,1.079237,3292.01,6692.20,2025-02-12,0.3301,3299.43,6445.64,stop_loss,22,20,10,5,28,-28808.96,552.78,-29361.74,-17.56%,167215.33
43,HC-SM,HC,SM,short,2025-01-15,2.2066,1.074946,3417.89,6692.20,2025-02-12,0.2397,3419.75,6445.64,stop_loss,22,20,10,5,28,-27583.78,563.61,-28147.39,-16.50%,170538.75
44,SS-SM,SS,SM,short,2025-01-14,2.2071,0.920209,13155.33,6458.76,2025-02-12,0.4738,13092.98,6445.64,signal,12,27,5,5,29,-1450.77,663.40,-2114.17,-1.06%,199350.32
45,SM-SF,SM,SF,long,2025-01-15,-2.8697,1.001599,6692.20,6461.16,2025-02-12,-0.3664,6445.64,6343.67,signal,24,24,5,5,28,-19133.25,648.57,-19781.82,-10.03%,197300.41
