,value
total_trades,96.0
total_pnl,-1460808.527173593
total_return,-0.29440710303471845
annual_return,-0.5437036965625335
sharpe_ratio,-2.9943156760296024
sortino_ratio,-3.208202724101773
max_drawdown,0.296050527688318
win_rate,0.1875
profit_factor,0.24602160645952584
avg_win,26481.04623451129
avg_loss,-24839.325120446105
max_consecutive_losses,15.0
calmar_ratio,-1.8365233151516105
