pair,z_var,z_mean,in_band,quality,delta,R,beta,calibrations,red_line_1
AG-NI,0.0004398381495979269,0.9653040037296422,False,bad,0.995,7300635662.948002,4.0,50,False
SF-ZN,0.5793614590342439,0.5848992361794735,False,bad,0.995,826527.9059261051,3.8762634033389416,46,False
AU-ZN,0.0004456357567174318,0.9902863270190082,False,bad,0.995,372824587.9914174,4.0,50,False
HC-AL,0.00013938835227252279,0.9920070199132147,False,bad,0.995,685476896.9327481,-1.5407230002037817,50,False
ZN-SN,0.00037756421289257124,1.007668419960577,False,bad,0.995,31305621723.572186,4.0,50,False
RB-AL,9.741322741872251e-05,0.98858400459869,False,bad,0.995,569891807.4275012,-0.8890596212699001,50,False
AU-CU,8.522615290558796e-05,1.0054051031431006,False,bad,0.995,5707176437.744745,4.0,50,False
AU-NI,0.0002608743916728134,0.986126946543814,False,bad,0.995,14034642996.87539,4.0,50,False
SF-NI,0.00016895257937813284,0.9853771818213393,False,bad,0.995,9754459286.34944,4.0,50,False
SF-CU,0.0006745803908014519,1.0093831629426295,False,bad,0.995,3119543556.723404,4.0,50,False
SS-NI,0.0003088307506521529,0.9806312473284172,False,bad,0.995,4902732822.291475,4.0,50,False
CU-SN,0.3593437003998302,-0.2167962226834941,False,bad,0.995,8641154.549018651,3.391363206770908,48,False
I-AL,7.339707630067699e-05,1.006368334997547,False,bad,0.995,304933569.87305415,4.0,50,False
SM-AL,0.00035999731751306323,0.9784751479351986,False,bad,0.995,180627945.84378576,1.2796924440008668,50,False
AG-CU,0.0003437689800227093,0.9775392895302625,False,bad,0.995,1807054868.677086,4.0,50,False
RB-SM,0.37678648498993084,-0.6110446691570784,False,bad,0.995,10594.267559389395,1.8792276857404033,41,False
SM-NI,0.00018288478161928798,0.9844391784947402,False,bad,0.995,9575074053.21304,4.0,50,False
AU-SN,0.0002226023778124017,1.0025099933425878,False,bad,0.995,69415745702.81398,4.0,50,False
SF-AL,0.041995149545606805,0.8923947399953168,False,bad,0.995,10482963.476671083,3.1355535509840586,50,False
SM-ZN,0.0005274688611707,0.9453891809655443,False,bad,0.995,134559377.97665173,1.9275374825611882,50,False
AG-ZN,0.032841861838778026,0.2518540192402601,False,bad,0.995,2055266.2855667714,2.421714929010714,50,False
AG-PB,0.023524043070929347,0.5347213662398791,False,bad,0.995,3906777.9536338914,1.74894526052912,50,False
RB-ZN,0.0002506526081647327,0.9721549628467918,False,bad,0.995,550101690.4921986,-0.18454984277033423,50,False
AU-PB,0.0001696413947821944,0.9941629139070414,False,bad,0.995,190330494.87623122,4.0,50,False
PB-AL,0.006042041760671168,0.820322910541376,False,bad,0.995,2666530.9196787314,1.1485545280550173,50,False
SM-CU,0.0005120162379013813,1.008210212879917,False,bad,0.995,3018095643.8911157,4.0,50,False
I-SN,0.00021288908178395527,1.0021842657720281,False,bad,0.995,69448903848.06047,4.0,50,False
AU-AL,0.00011078240023333528,1.0077553470001843,False,bad,0.995,302727580.6508772,4.0,50,False
SM-PB,0.0008545154406140803,0.9788730908481352,False,bad,0.995,106064936.81792696,1.1510389395945109,50,False
RB-PB,0.0001439200148050606,0.9931695700088554,False,bad,0.995,298267193.0515899,-0.11970773218590089,50,False
I-PB,0.00023072166499087256,0.9936166202709462,False,bad,0.995,192114818.5550581,4.0,50,False
AU-SM,0.009290044968052222,0.9735011238171871,False,bad,0.995,8027561.513654113,4.0,50,False
HC-PB,9.938423554067537e-05,0.9735372314023195,False,bad,0.995,324380998.04923147,-0.16512198722447263,50,False
AU-SS,0.000637412611699522,0.9903915044809714,False,bad,0.995,95728814.6833753,4.0,50,False
AG-AL,0.0007578411026473861,0.9410764358781276,False,bad,0.995,62234119.52567054,1.420814062153731,50,False
SS-ZN,0.0024462150945232363,-0.762752356611026,False,bad,0.995,10013310.871466769,1.9059204638778102,50,False
SS-CU,0.0020542983058783526,1.0238462731396158,False,bad,0.995,735036815.0499635,4.0,50,False
RB-CU,8.410960546526862e-05,1.0089403408776,False,bad,0.995,7047012055.998897,-1.6760271433300833,50,False
AG-SM,0.06754320246412124,-1.1752155405032094,False,bad,0.995,1487025.688216855,0.7836701569950524,43,False
I-SM,0.002356072158349072,0.9780961391772363,False,bad,0.995,8349808.896739535,4.0,49,False
SF-SS,0.0003970907564380229,0.9860945288397803,False,bad,0.995,51924891.44974916,1.0113874891784909,50,False
AG-SS,0.00041217601281725945,0.9609995145475984,False,bad,0.995,88069845.83528799,0.4158429767254194,50,False
AU-RB,0.0006947490619305456,0.9882441560743211,False,bad,0.995,14068138.114122694,-0.6323391876693024,50,False
HC-CU,8.385701655111304e-05,1.0093499311259972,False,bad,0.995,7068476902.631831,-1.610278266989099,50,False
AU-SF,0.015975296203360256,0.964849517269995,False,bad,0.995,6811100.748647904,4.0,50,False
I-NI,0.00022774795860880823,0.9864777265152576,False,bad,0.995,14049575083.90263,4.0,50,False
SM-SS,0.00019976727715754328,0.9900042798494711,False,bad,0.995,122634353.89977364,0.3191142608640229,50,False
AL-SN,0.00035857207863285325,1.0003708415488062,False,bad,0.995,34060967723.059483,4.0,50,False
AG-SF,0.009808306484152636,0.7317429193271214,False,bad,0.995,2301431.5072317603,0.5094287100251116,50,False
PB-CU,0.004491927997698925,1.0559028967849087,False,bad,0.995,122537113.92642601,4.0,50,False
I-CU,9.365680405995528e-05,1.0047851761774333,False,bad,0.995,5716788305.357402,4.0,50,False
HC-SM,0.2915391010834086,-0.8367400507698075,False,bad,0.995,20925.724364832582,1.7958308449303977,40,False
PB-NI,0.0013059680526945202,0.9729312706045178,False,bad,0.995,2913673620.41977,4.0,50,False
RB-SF,0.005117427409953446,0.885433492791875,False,bad,0.995,3149351.606173386,1.3054078575917374,50,False
