date,pair,signal,z_score,beta,alpha,innovation,days_held,phase,reason,R,symbol_x,symbol_y
2024-09-30,SF-NI,open_long,-2.0996097306578894,1.6544190214466699,-2.7582447342446423,-0.08309703873710816,1,signal_generation,z_threshold,0.0008348004056542115,SF,NI
2024-10-08,SF-NI,close,-0.08659192489777312,1.6542309856252706,-2.758281822033813,-0.00348718499595968,0,signal_generation,z_converge,0.0008265740061896298,SF,NI
2025-07-25,SF-NI,open_long,-3.1640179272493216,1.6619988659186336,-2.7439518371904867,-0.10850829177967114,1,signal_generation,z_threshold,0.0006076927643252522,SF,NI
2025-07-30,SF-NI,close,-0.1070209648228757,1.6594361904049189,-2.7436689638126084,-0.003939525491094997,0,signal_generation,z_converge,0.0006324753232143802,SF,NI
2025-04-07,AU-NI,open_long,-2.224541087269035,-0.2989285429207335,13.70666152596824,-0.08889579014466698,1,signal_generation,z_threshold,0.0010636096994310928,AU,NI
2025-04-10,AU-NI,close,0.20552642012937156,-0.30267428080249115,13.705362265266624,0.00846923647903175,0,signal_generation,z_converge,0.0010660785637666688,AU,NI
2025-03-14,CU-SN,open_short,2.2128458640964,0.8269142402621179,3.2147179184320427,0.0730491970332725,1,signal_generation,z_threshold,0.00029932667681652344,CU,SN
2025-03-17,CU-SN,close,0.043078377962182,0.8270077803392081,3.2147332072714394,0.001453788387241417,0,signal_generation,z_converge,0.000296354545055107,CU,SN
2024-09-30,RB-SM,open_short,2.7540581562596063,-0.6685329004540138,14.18919328978957,0.13031271969824054,1,signal_generation,z_threshold,0.0015154595631179236,RB,SM
2024-10-08,RB-SM,close,0.4283737973218833,-0.6676125463906709,14.18934908771219,0.020943720932038445,0,signal_generation,z_converge,0.0015046913619515354,RB,SM
2025-07-25,RB-SM,open_short,2.6103177766090244,-0.6715980501779489,14.179791189219822,0.09120904251798123,1,signal_generation,z_threshold,0.0006524587211088914,RB,SM
2025-07-30,RB-SM,close,-0.11484521975523913,-0.6723227763152455,14.1790934969128,-0.0041948018684205834,0,signal_generation,z_converge,0.0006578912856612813,RB,SM
2025-04-07,SM-NI,open_long,-2.010158460103969,-0.5714392250953882,16.713084623197187,-0.09195456663776902,1,signal_generation,z_threshold,0.0012608901471044404,SM,NI
2025-04-10,SM-NI,close,0.10008348806955505,-0.5753985010538332,16.711892771706243,0.004692654174768052,0,signal_generation,z_converge,0.0012645809583186896,SM,NI
