,value
total_trades,101.0
total_pnl,-1417476.9847007962
total_return,-0.2834953969401587
annual_return,-0.5245273686375346
sharpe_ratio,-2.701909561715243
sortino_ratio,-2.900237926824296
max_drawdown,0.28894640793052395
win_rate,0.19801980198019803
profit_factor,0.272523352986276
avg_win,26550.376719120286
avg_loss,-24055.36443312595
max_consecutive_losses,15.0
calmar_ratio,-1.8153102244609152
