pair,direction,open_date,close_date,holding_days,net_pnl,gross_pnl,open_commission,close_commission,total_commission,return_pct,close_reason,margin_released
AL-I,short,2024-09-30,2024-10-08,8,-41777.35152499981,-41283.37499999981,250.0046049999999,243.97191999999984,493.97652499999975,-0.27851054666906255,stop_loss,150002.76299999992
SN-I,short,2024-09-30,2024-10-08,8,-50841.359103599985,-50244.36999999999,302.90835479999987,294.08074879999987,596.9891035999997,-0.2797400506233908,stop_loss,181745.0128799999
SF-I,short,2024-09-30,2024-10-08,8,-29122.754494000095,-28560.390000000094,286.289408,276.07508600000006,562.364494,-0.16954145979674817,stop_loss,171773.64479999998
PB-I,short,2024-09-30,2024-10-08,8,-45304.33973599982,-44648.43999999982,333.03126399999996,322.868472,655.899736,-0.22672716064679455,stop_loss,199818.75839999996
NI-I,short,2024-09-30,2024-10-08,8,-63000.99335100059,-62253.925000000585,379.1215829999998,367.94676799999996,747.0683509999998,-0.27696037443745597,stop_loss,227472.94979999986
SS-RB,short,2024-09-30,2024-10-17,17,-60764.20224800095,-60046.000000000946,366.7506840000002,351.45156399999996,718.2022480000002,-0.27613764563104365,stop_loss,220050.41040000008
SM-I,short,2024-09-30,2024-10-23,23,-21692.889736000325,-21307.880000000325,201.2551799999999,183.75455599999998,385.00973599999986,-0.17964663680540904,signal,120753.10799999995
RB-SM,long,2024-10-08,2024-10-25,17,-30267.10134000039,-29527.54000000039,373.443924,366.11741599999993,739.56134,-0.13508097376354863,stop_loss,224066.35439999998
AG-SF,long,2024-10-21,2024-10-25,4,-53368.57368499953,-52659.56499999953,353.6069950000002,355.40168999999986,709.008685,-0.25154373093872906,stop_loss,212164.1970000001
SM-AG,short,2024-10-21,2024-10-25,4,-35581.43568000012,-35072.49000000012,254.0920260000001,254.85365399999992,508.94568000000004,-0.23338942875759583,stop_loss,152455.21560000003
SF-NI,long,2024-10-25,2024-11-06,12,-28227.5012480001,-27525.6700000001,355.282743,346.548505,701.831248,-0.13241801449763493,stop_loss,213169.64579999997
HC-SM,long,2024-10-08,2024-11-07,30,-19180.13742800069,-18663.78000000069,256.68383200000005,259.6735959999999,516.357428,-0.12453801809119976,time_stop,154010.2992
SS-NI,long,2024-10-29,2024-11-07,9,-15247.262827598739,-14799.825999998739,222.30766519999997,225.12916239999998,447.43682759999996,-0.11431051956666662,signal,133384.59911999997
CU-AL,short,2024-11-07,2024-11-28,21,-21228.592935999783,-20594.63999999978,324.2936679999999,309.6592679999999,633.9529359999998,-0.10910169305762182,signal,194576.20079999993
SS-SF,short,2024-12-02,2024-12-10,8,-22608.25073999882,-21950.99999999882,329.325282,327.92545799999994,657.25074,-0.114417021587787,signal,197595.16919999997
PB-SN,long,2024-11-13,2024-12-25,42,14826.526333800539,15502.071000000538,336.9543431999999,338.59032299999996,675.5446661999999,0.07333598073948466,time_stop,202172.60591999994
SS-NI,short,2024-11-26,2024-12-26,30,-4023.842825999826,-3455.9299999998257,284.78896600000013,283.12386,567.9128260000001,-0.02354868169295473,time_stop,170873.37960000007
SM-NI,short,2024-12-26,2025-01-03,8,-19039.05357200018,-18449.18000000018,297.01540800000004,292.85816400000016,589.8735720000002,-0.10683538664544176,signal,178209.2448
SM-AG,short,2025-01-07,2025-01-10,3,-30922.886574998647,-30251.934999998648,331.0871689999999,339.864406,670.9515749999998,-0.15566336940005196,stop_loss,198652.30139999994
CU-SF,long,2025-01-07,2025-01-10,3,-8779.047688000064,-8228.440000000064,273.05108800000016,277.55659999999995,550.607688,-0.053586111865874586,signal,163830.6528000001
RB-AG,short,2025-01-07,2025-01-14,7,-30067.057810999675,-29379.034999999676,344.1057969999997,343.9170139999999,688.0228109999996,-0.14562894160813233,stop_loss,206463.4781999998
HC-AG,short,2025-01-07,2025-01-14,7,-30263.092769999595,-29675.949999999597,293.1968999999999,293.94587,587.1427699999999,-0.17202940396027155,stop_loss,175918.13999999993
RB-SN,short,2025-01-08,2025-01-14,6,-24520.358431200548,-24008.180000000546,254.72736159999997,257.4510696,512.1784312,-0.16043531325140895,signal,152836.41695999997
AU-I,long,2025-01-03,2025-01-14,11,-12202.421319999656,-11702.999999999656,247.86376000000013,251.55756000000008,499.4213200000002,-0.08205059451476926,signal,148718.25600000005
RB-NI,short,2025-01-08,2025-01-16,8,-11145.531854401159,-10770.582000001159,184.39441739999995,190.55543700000007,374.94985440000005,-0.10073996103529509,signal,110636.65043999995
RB-SF,short,2025-01-09,2025-01-17,8,-24157.529644000337,-23612.820000000338,267.01640000000015,277.69324400000005,544.7096440000003,-0.15078680338236605,signal,160209.84000000008
SN-SF,short,2025-01-15,2025-01-20,5,-29239.218488999675,-28558.454999999674,340.580859,340.1826299999999,680.7634889999999,-0.14308505462721693,stop_loss,204348.51539999997
AU-PB,long,2025-01-03,2025-02-05,33,30697.964639999875,31126.949999999873,209.30917500000007,219.67618499999992,428.98536,0.2444387562083687,time_stop,125585.50500000003
AU-HC,long,2025-01-03,2025-02-05,33,36263.79159999943,36659.79999999943,193.35898,202.64942,396.0084,0.31257742809082734,time_stop,116015.38799999999
AU-RB,long,2025-01-08,2025-02-07,30,25556.4756399998,25947.7999999998,190.06755999999996,201.25680000000008,391.32436000000007,0.2240999256615192,time_stop,114040.53599999998
AG-SF,long,2025-02-05,2025-02-07,2,-35996.58210600027,-35397.57000000027,297.1058580000001,301.9062479999999,599.012106,-0.20192904951069807,stop_loss,178263.51480000006
RB-SM,short,2025-01-10,2025-02-10,31,54465.5635080005,55021.3800000005,266.22374399999984,289.5927480000002,555.816492,0.34097611962064844,time_stop,159734.24639999992
SF-NI,long,2025-01-27,2025-02-10,14,-15411.73140499841,-14825.414999998411,290.969237,295.347168,586.316405,-0.08827812614544776,signal,174581.5422
CU-SM,short,2025-01-15,2025-02-11,27,-26820.747233998354,-26248.889999998355,284.42282800000015,287.434406,571.8572340000002,-0.15716475960922954,stop_loss,170653.69680000006
SM-I,long,2025-02-06,2025-02-11,5,-50734.62769599974,-50174.82999999974,285.7281309999999,274.06956500000007,559.797696,-0.295937654198516,stop_loss,171436.87859999994
PB-SM,short,2025-01-14,2025-02-12,29,-34015.11024600097,-33363.63000000097,323.05505399999987,328.42519200000004,651.4802459999999,-0.17548665377017023,stop_loss,193833.0323999999
HC-SM,short,2025-01-15,2025-02-12,28,-28147.392892000982,-27583.78000000098,284.2312479999999,279.381644,563.6128919999999,-0.16504983817496494,stop_loss,170538.7487999999
SS-SM,short,2025-01-15,2025-02-12,28,-34393.43461500028,-33723.885000000286,338.40151199999985,331.14810299999994,669.5496149999998,-0.16939165160999783,stop_loss,203040.9071999999
SM-SF,long,2025-01-15,2025-02-12,28,-19781.81675000009,-19133.25000000009,328.8340249999999,319.7327249999999,648.5667499999997,-0.1002624183532513,signal,197300.41499999992
AL-SM,short,2025-01-14,2025-02-12,29,-13126.201170000735,-12609.840000000735,257.41116299999993,258.950007,516.3611699999999,-0.08498855175912179,signal,154446.69779999994
ZN-SM,short,2025-01-14,2025-02-13,30,1711.2901260002266,2346.0000000002265,318.4673429999998,316.24253100000016,634.7098739999999,0.008955863992624134,time_stop,191080.40579999986
ZN-I,short,2025-01-14,2025-02-13,30,15747.266420999566,16111.814999999566,181.20761099999996,183.34096799999998,364.5485789999999,0.14483632276902147,time_stop,108724.56659999996
