date,equity
2024-02-08,5000000.0
2024-02-09,5000000.0
2024-02-10,5000000.0
2024-02-11,5000000.0
2024-02-12,4982153.2478424
2024-02-13,4737209.6035504
2024-02-14,4658477.118670397
2024-02-15,4700175.082628399
2024-02-16,4674364.537252398
2024-02-17,4660581.107252398
2024-02-18,4557802.229951399
2024-02-19,4564247.593620998
2024-02-20,4561843.468621001
2024-02-21,4552718.113621001
2024-02-22,4517588.452858999
2024-02-23,4504075.3902618
2024-02-24,4499701.757575401
2024-02-25,4490977.227575402
2024-02-26,4478819.052575403
2024-02-27,4510785.329643402
2024-02-28,4525054.669643402
2024-02-29,4525621.183043402
2024-03-01,4513958.489479403
2024-03-02,4476306.3863034025
2024-03-03,4466578.008303402
2024-03-04,4470045.7023236025
2024-03-05,4471006.182613602
2024-03-06,4450285.5340276025
2024-03-07,4451823.559027603
2024-03-08,4448412.460119601
2024-03-09,4472075.141441603
2024-03-10,4490536.3926416
2024-03-11,4491581.445404602
2024-03-12,4295245.7183676055
2024-03-13,4431270.2034236
2024-03-14,4332043.284403998
2024-03-15,4334739.898560005
2024-03-16,4388193.791789001
2024-03-17,4531294.056788999
2024-03-18,4493830.996315001
2024-03-19,4526459.3506673975
2024-03-20,4806155.441405397
2024-03-21,4781778.558775394
2024-03-22,4689667.58175641
2024-03-23,4319771.015952404
2024-03-24,4164017.5332834013
2024-03-25,4178463.813645602
2024-03-26,4269014.271697602
2024-03-27,4204764.239897598
2024-03-28,4187899.0688976045
2024-03-29,4103214.3767016004
2024-03-30,4060936.9737202
2024-03-31,4047111.2465502014
2024-04-01,4061289.991550202
2024-04-02,4141604.2087102016
2024-04-03,4145780.3955532014
2024-04-04,4189804.7928612027
2024-04-05,4279846.659335205
2024-04-06,4294771.371211207
2024-04-07,4329497.503384203
2024-04-08,4277624.723592204
2024-04-09,4220607.355430605
2024-04-10,4215140.825430603
2024-04-11,4230151.490430603
2024-04-12,4241478.569506604
2024-04-13,4237292.944506603
2024-04-14,4240532.444506603
2024-04-15,4140976.1912320047
2024-04-16,4140749.580288004
2024-04-17,4131076.293231802
2024-04-18,4099114.5548638045
2024-04-19,4096826.5298638027
2024-04-20,4064984.1469698003
2024-04-21,4058391.959457801
2024-04-22,4058636.889457803
2024-04-23,4051995.0779758017
2024-04-24,4048249.051963803
2024-04-25,4036442.408159803
2024-04-26,4041134.3031598027
2024-04-27,4018738.295299803
2024-04-28,3881894.520023808
2024-04-29,3866998.977411807
2024-04-30,3869667.5374118066
2024-05-01,3862018.459440807
2024-05-02,3848871.9546048064
2024-05-03,3820281.2697128085
2024-05-04,3807844.9364008084
2024-05-05,3801180.4943992067
2024-05-06,3822643.3730032076
2024-05-07,3813860.352264207
2024-05-08,3836132.142776207
2024-05-09,3814735.9337172057
2024-05-10,3821761.8050552057
2024-05-11,3801145.9581472087
2024-05-12,3816117.6212092056
2024-05-13,3806124.6028092066
2024-05-14,3794952.1110292054
2024-05-15,3791312.577844406
2024-05-16,3799741.627844406
2024-05-17,3826542.618100405
2024-05-18,3855446.1681004036
2024-05-19,3841767.652354404
2024-05-20,3881843.522354407
2024-05-21,3891261.9361084057
2024-05-22,3860033.3861084078
2024-05-23,3852207.336108409
2024-05-24,3672180.1091674077
2024-05-25,3525367.2615584084
2024-05-26,3519747.36155841
2024-05-27,3521569.364078408
2024-05-28,3527149.4678704087
2024-05-29,3527964.484826408
