pair,symbol_x,symbol_y,data_points,x_max,y_max,suspected_log_prices,OLS_Full_n_obs,OLS_Full_adf_stat,OLS_Full_p_value,OLS_Full_critical_5%,OLS_Full_is_stationary,OLS_Full_residual_mean,OLS_Full_residual_std,OLS_60d_n_obs,OLS_60d_adf_stat,OLS_60d_p_value,OLS_60d_critical_5%,OLS_60d_is_stationary,OLS_60d_residual_mean,OLS_60d_residual_std,Kalman_n_obs,Kalman_adf_stat,Kalman_p_value,Kalman_critical_5%,Kalman_is_stationary,Kalman_residual_mean,Kalman_residual_std,Coint_Beta_n_obs,Coint_Beta_adf_stat,Coint_Beta_p_value,Coint_Beta_critical_5%,Coint_Beta_is_stationary,Coint_Beta_residual_mean,Coint_Beta_residual_std
AG-NI,AG,NI,638,9499.951,227797.899,False,638,-3.9435643700650274,0.0017366310912051803,-2.866095119842903,True,2.0983952993883235e-12,16413.27452604297,638,-2.3585299481696067,0.1537846171881147,-2.866095119842903,False,-86468.37933371021,44075.36789323475,578,-1.679768282510521,0.44156545124024876,-2.866570853087291,False,109615.36258569972,20526.456461448848,638,-3.87840917509832,0.0021996163138603706,-2.866095119842903,True,166738.48469693196,21262.77786067759
CU-SN,CU,SN,638,87687.017,297398.582,False,638,-4.30820256126138,0.00042990590312408556,-2.8660879520543534,True,-2.2626175402100182e-11,9890.89831683686,638,-3.3235344969707596,0.013858702618743689,-2.8660879520543534,True,13855.333722610725,11938.198097868317,578,-6.061724568625967,1.208108850741065e-07,-2.8665621113012514,True,3491.430747050228,8251.71654508165,638,-3.2428414379148607,0.01763497224646948,-2.8660879520543534,True,-5877.039866802352,12212.053520686472
SF-ZN,SF,ZN,638,8604.314,25831.471,False,638,-2.085362198189252,0.2504411240722933,-2.8660879520543534,False,9.123457823427492e-13,1573.325674653663,638,-1.28678290758665,0.6351972480809744,-2.8661023102613137,False,2001.093819719617,2277.466146856911,578,-2.520045792499658,0.11067283553068735,-2.866597262008035,False,1166.8306188908798,1210.169838892837,638,-1.1630079493538017,0.6893029971471389,-2.866116759417764,False,7285.989373517243,2383.4420247971334
AU-ZN,AU,ZN,638,832.833,25831.471,False,638,-2.1648286222888253,0.21925729523181736,-2.8660879520543534,False,5.93024758522787e-13,1460.2408030269742,638,-0.4588732008136417,0.8997953487914285,-2.8660879520543534,False,3821.351596330424,4669.579119263424,578,-11.370725909740683,8.993216215276307e-21,-2.8665621113012514,True,20133.381625334627,1613.7188638303983,638,-1.240141529199415,0.6560939873611239,-2.8660879520543534,False,28555.668763164576,2380.3684078653987
