交易ID,配对,品种X,品种Y,入场日期,出场日期,持仓天数,入场动作,退出动作,Beta,入场Z_Score,出场Z_Score,入场价格X,入场价格Y,出场价格X,出场价格Y,手数X,手数Y,乘数X,乘数Y,保证金,原始盈亏,原始收益率%,触发止损,止损后盈亏,止损后收益率%,入场价差,出场价差
21,AG0-SS0,AG0,SS0,2025-03-14,2025-04-28,30,open_short,close_timeout,-1.6949976933050317,2.603965089290213,-1.0578014253243095,8383.0,13600.0,8165.0,12780.0,3,5,15,5,86068.2,30029.168,34.889968652766065,False,30029.168,34.889968652766065,27819.080669896164,26389.679971533405
22,AG0-SS0,AG0,SS0,2025-07-14,2025-08-01,14,open_short,close_normal,-1.6138196098295847,2.488379032060409,0.1320640703681203,9210.0,12715.0,8915.0,12855.0,3,5,15,5,87879.0,9484.025,10.792140329316446,False,9484.025,10.792140329316446,27588.437147700984,27074.2044580004
23,AU0-I0,AU0,I0,2024-12-27,2025-02-18,5,open_long,close_timeout,1.0010753404706016,-2.3063160272042182,-1.5522223433800006,620.1600000000001,761.0,682.88,816.5,1,1,1000,100,83551.20000000001,-57462.15799999992,-68.77478480261195,True,-12532.680000000002,-15.0,138.61305233332337,90.76479893050544
24,AU0-I0,AU0,I0,2025-03-05,2025-04-17,5,open_long,close_timeout,1.083466585674315,-2.234490385998529,-2.13779424092823,683.84,772.5,789.28,705.5,1,1,1000,100,91330.8,-112464.18399999994,-123.1393834281534,True,-13699.62,-15.0,30.017202057335908,-126.65810916316376
25,AU0-I0,AU0,I0,2025-07-10,2025-08-18,27,open_short,close_normal,0.9507323919393956,2.295330981004652,0.2874666595474959,773.3599999999999,762.0,777.6,773.5,1,1,1000,100,101947.19999999998,2749.0980000001227,2.696589999529289,False,2749.0980000001227,2.696589999529289,28.29864131326542,3.789154338748858
26,AL0-CU0,AL0,CU0,2024-11-13,2024-12-25,30,open_long,close_timeout,1.563773007777322,-2.2656784275078223,-0.6008942921699385,20750.0,74240.0,19910.0,74110.0,2,3,5,5,158532.0,5923.63,3.7365516110312114,False,5923.63,3.7365516110312114,41738.25349350391,42462.90789184542
27,AL0-CU0,AL0,CU0,2025-02-07,2025-02-28,15,open_short,close_normal,1.6195320303686644,2.289835509144788,0.2910025525435783,20615.0,77220.0,20625.0,76870.0,3,5,5,5,268767.0,8005.83,2.978725066693456,False,8005.83,2.978725066693456,43887.64017440551,43032.35737453576
28,AL0-CU0,AL0,CU0,2025-03-12,2025-04-21,27,open_short,close_normal,1.648281900554497,2.581554379428564,-0.084598678997279,21015.0,79380.0,19855.0,77320.0,3,5,5,5,275967.0,33193.89,12.028209894661318,False,33193.89,12.028209894661318,44796.08008835557,43831.42025771552
29,AL0-PB0,AL0,PB0,2024-08-02,2024-08-12,6,open_long,close_normal,0.9739205595520952,-2.5019190531836952,0.2578642106823167,19205.0,18180.0,19195.0,18255.0,1,1,5,5,22431.0,350.165,1.561076189202443,False,350.165,1.5610761892024432,-553.753154591268,104.30318951845402
30,AL0-PB0,AL0,PB0,2024-11-12,2024-12-12,5,open_short,close_normal,0.7990451342977528,2.773479795751491,-0.2145424433175272,20930.0,16980.0,20545.0,17470.0,5,4,5,5,103542.0,-19770.175,-19.09387012033764,True,-15531.3,-15.0,282.97101616250075,-132.31245383721762
