交易ID,配对,品种X,品种Y,入场日期,出场日期,持仓天数,入场动作,退出动作,信号类型,Beta系数,入场Z_Score,出场Z_Score,入场价格_X,入场价格_Y,出场价格_X,出场价格_Y,价格变动_X,价格变动_Y,价格变动率_X%,价格变动率_Y%,手数_X,手数_Y,合约乘数_X,合约乘数_Y,保证金,保证金率%,入场价差,出场价差,价差变动,毛盈亏,手续费,原始净盈亏,原始收益率%,触发止损,止损后净盈亏,止损后收益率%,止损保护金额,实际持仓天数,最终净盈亏,最终收益率%,入场月份,出场月份
27,AL0-CU0,AL0,CU0,2025-02-07,2025-02-28,15,open_short,close_normal,short,1.6195,2.2898,0.2910,20615.0000,77220.0000,20625.0000,76870.0000,10.0000,-350.0000,0.0485,-0.4533,3,5,5,5,268767.0000,12.0000,43887.6402,43032.3574,-855.2828,8900.0000,894.1700,8005.8300,2.9787,False,8005.8300,2.9787,0.0000,15,8005.8300,2.9787,2025-02,2025-02
28,AL0-CU0,AL0,CU0,2025-03-12,2025-04-21,27,open_short,close_normal,short,1.6483,2.5816,-0.0846,21015.0000,79380.0000,19855.0000,77320.0000,-1160.0000,-2060.0000,-5.5199,-2.5951,3,5,5,5,275967.0000,12.0000,44796.0801,43831.4203,-964.6598,34100.0000,906.1100,33193.8900,12.0282,False,33193.8900,12.0282,0.0000,27,33193.8900,12.0282,2025-03,2025-04
29,AL0-PB0,AL0,PB0,2024-08-02,2024-08-12,6,open_long,close_normal,long,0.9739,-2.5019,0.2579,19205.0000,18180.0000,19195.0000,18255.0000,-10.0000,75.0000,-0.0521,0.4125,1,1,5,5,22431.0000,12.0000,-553.7532,104.3032,658.0563,425.0000,74.8350,350.1650,1.5611,False,350.1650,1.5611,0.0000,6,350.1650,1.5611,2024-08,2024-08
30,AL0-PB0,AL0,PB0,2024-11-12,2024-12-12,22,open_short,close_normal,short,0.7990,2.7735,-0.2145,20930.0000,16980.0000,20545.0000,17470.0000,-385.0000,490.0000,-1.8395,2.8857,5,4,5,5,103542.0000,12.0000,282.9710,-132.3125,-415.2835,-19425.0000,345.1750,-19770.1750,-19.0939,True,-15531.3000,-15.0000,4238.8750,6,-15531.3000,-15.0000,2024-11,2024-12
31,AL0-PB0,AL0,PB0,2025-05-14,2025-05-23,7,open_long,close_normal,long,0.8491,-3.0205,-0.2068,20225.0000,16950.0000,20170.0000,16845.0000,-55.0000,-105.0000,-0.2719,-0.6195,5,4,5,5,101355.0000,12.0000,-250.3702,-2.5655,247.8048,-725.0000,337.1550,-1062.1550,-1.0480,False,-1062.1550,-1.0480,0.0000,7,-1062.1550,-1.0480,2025-05,2025-05
32,AL0-PB0,AL0,PB0,2025-06-18,2025-06-20,2,open_long,close_normal,long,0.8247,-2.4735,0.1278,20665.0000,16825.0000,20385.0000,16795.0000,-280.0000,-30.0000,-1.3549,-0.1783,5,4,5,5,102375.0000,12.0000,-244.9917,-1.9326,243.0591,6400.0000,339.7300,6060.2700,5.9197,False,6060.2700,5.9197,0.0000,2,6060.2700,5.9197,2025-06,2025-06
33,AL0-PB0,AL0,PB0,2025-06-25,2025-06-30,3,open_short,close_normal,short,0.8338,2.3400,0.2083,20370.0000,17175.0000,20565.0000,17215.0000,195.0000,40.0000,0.9573,0.2329,5,4,5,5,102330.0000,12.0000,217.2780,9.5498,-207.7282,4075.0000,342.2350,3732.7650,3.6478,False,3732.7650,3.6478,0.0000,3,3732.7650,3.6478,2025-06,2025-06
34,CU0-SN0,CU0,SN0,2024-09-25,2024-11-13,30,open_long,close_timeout,long,3.2601,-2.2407,-1.3818,77040.0000,257400.0000,74240.0000,246390.0000,-2800.0000,-11010.0000,-3.6345,-4.2774,2,7,5,1,308664.0000,12.0000,6115.9802,1668.6281,-4447.3522,-49070.0000,1007.8660,-50077.8660,-16.2241,True,-46299.6000,-15.0000,3778.2660,9,-46299.6000,-15.0000,2024-09,2024-11
35,CU0-SN0,CU0,SN0,2024-11-28,2024-12-12,10,open_long,close_normal,long,3.2907,-2.2481,-0.2018,73740.0000,233240.0000,75470.0000,251650.0000,1730.0000,18410.0000,2.3461,7.8932,2,7,5,1,284409.6000,12.0000,-9543.9665,3566.6536,13110.6201,111570.0000,977.2660,110592.7340,38.8850,False,110592.7340,38.8850,0.0000,10,110592.7340,38.8850,2024-11,2024-12
36,CU0-SN0,CU0,SN0,2025-03-14,2025-03-24,6,open_short,close_normal,short,3.3419,4.6197,-0.2868,80530.0000,287770.0000,81810.0000,276930.0000,1280.0000,-10840.0000,1.5895,-3.7669,2,7,5,1,338362.8000,12.0000,18773.8116,1700.6214,-17073.1901,88680.0000,1115.2600,87564.7400,25.8790,False,87564.7400,25.8790,0.0000,6,87564.7400,25.8790,2025-03,2025-03
37,CU0-SN0,CU0,SN0,2025-04-01,2025-05-19,30,open_short,close_timeout,short,3.3824,2.5353,-0.3643,80460.0000,287450.0000,77790.0000,264890.0000,-2670.0000,-22560.0000,-3.3184,-7.8483,2,7,5,1,338010.0000,12.0000,15430.5097,739.6303,-14690.8794,131220.0000,1089.7760,130130.2240,38.4989,False,130130.2240,38.4989,0.0000,30,130130.2240,38.4989,2025-04,2025-05
38,CU0-ZN0,CU0,ZN0,2024-08-09,2024-08-16,5,open_short,close_normal,short,0.3116,2.4108,0.0007,71700.0000,22590.0000,73900.0000,23340.0000,2200.0000,750.0000,3.0683,3.3201,3,1,5,5,142614.0000,12.0000,273.6805,11.0717,-262.6088,29250.0000,482.7300,28767.2700,20.1714,False,28767.2700,20.1714,0.0000,5,28767.2700,20.1714,2024-08,2024-08
39,CU0-ZN0,CU0,ZN0,2024-08-23,2024-08-28,3,open_short,close_normal,short,0.3224,2.2180,0.1140,73530.0000,23985.0000,74560.0000,24030.0000,1030.0000,45.0000,1.4008,0.1876,3,1,5,5,146745.0000,12.0000,301.4155,34.0994,-267.3161,15225.0000,492.2850,14732.7150,10.0397,False,14732.7150,10.0397,0.0000,3,14732.7150,10.0397,2024-08,2024-08
40,CU0-ZN0,CU0,ZN0,2024-09-05,2024-09-11,4,open_long,close_normal,long,0.3210,-2.2592,-0.2944,71490.0000,22710.0000,73300.0000,22930.0000,1810.0000,220.0000,2.5318,0.9687,3,1,5,5,142308.0000,12.0000,-264.8566,-33.2980,231.5586,-26050.0000,480.0100,-26530.0100,-18.6427,True,-21346.2000,-15.0000,5183.8100,1,-21346.2000,-15.0000,2024-09,2024-09
41,CU0-ZN0,CU0,ZN0,2024-10-08,2024-10-09,1,open_short,close_normal,short,0.3227,2.3081,-0.1148,77340.0000,25270.0000,77530.0000,25055.0000,190.0000,-215.0000,0.2457,-0.8508,3,1,5,5,154374.0000,12.0000,336.8700,5.5164,-331.3536,3925.0000,514.9350,3410.0650,2.2090,False,3410.0650,2.2090,0.0000,1,3410.0650,2.2090,2024-10,2024-10
42,CU0-ZN0,CU0,ZN0,2024-10-24,2024-10-29,3,open_short,close_normal,short,0.3315,2.6203,-0.2334,77030.0000,25910.0000,76470.0000,25025.0000,-560.0000,-885.0000,-0.7270,-3.4157,3,1,5,5,154200.0000,12.0000,403.2288,-8.1941,-411.4229,-3975.0000,511.4350,-4486.4350,-2.9095,False,-4486.4350,-2.9095,0.0000,3,-4486.4350,-2.9095,2024-10,2024-10
43,CU0-ZN0,CU0,ZN0,2025-01-06,2025-01-22,12,open_long,close_normal,long,0.3361,-2.3258,0.0593,73570.0000,24505.0000,75550.0000,24100.0000,1980.0000,-405.0000,2.6913,-1.6527,3,1,5,5,147129.0000,12.0000,-248.8848,1.2368,250.1216,-31725.0000,495.9650,-32220.9650,-21.8998,True,-22069.3500,-15.0000,10151.6150,3,-22069.3500,-15.0000,2025-01,2025-01
44,CU0-ZN0,CU0,ZN0,2025-04-07,2025-04-08,1,open_short,close_normal,short,0.3020,4.0060,0.0505,73670.0000,22610.0000,73330.0000,22100.0000,-340.0000,-510.0000,-0.4615,-2.2556,7,2,5,5,336546.0000,12.0000,383.4587,-32.5327,-415.9914,-6800.0000,1118.4200,-7918.4200,-2.3528,False,-7918.4200,-2.3528,0.0000,1,-7918.4200,-2.3528,2025-04,2025-04
45,CU0-ZN0,CU0,ZN0,2025-07-09,2025-07-14,3,open_short,close_normal,short,0.2807,2.2059,-0.2630,78430.0000,22105.0000,78370.0000,22265.0000,-60.0000,160.0000,-0.0765,0.7238,7,2,5,5,355932.0000,12.0000,112.2574,-23.7763,-136.0338,-3700.0000,1186.3400,-4886.3400,-1.3728,False,-4886.3400,-1.3728,0.0000,3,-4886.3400,-1.3728,2025-07,2025-07
46,PB0-SS0,PB0,SS0,2024-08-06,2024-09-19,30,open_long,close_timeout,long,-0.2973,-2.3345,-1.5520,17200.0000,13915.0000,16555.0000,13445.0000,-645.0000,-470.0000,-3.7500,-3.3777,7,2,5,5,88938.0000,12.0000,19018.5390,17766.2855,-1252.2535,-27275.0000,291.0050,-27566.0050,-30.9946,True,-13340.7000,-15.0000,14225.3050,9,-13340.7000,-15.0000,2024-08,2024-09
47,PB0-SS0,PB0,SS0,2025-04-07,2025-05-22,30,open_long,close_timeout,long,-0.0282,-2.8782,-1.1901,16645.0000,12925.0000,16700.0000,12865.0000,55.0000,-60.0000,0.3304,-0.4642,1,1,5,5,17742.0000,12.0000,13379.2867,12824.4572,-554.8295,-25.0000,59.1350,-84.1350,-0.4742,False,-84.1350,-0.4742,0.0000,30,-84.1350,-0.4742,2025-04,2025-05
48,ZN0-SF0,ZN0,SF0,2024-08-05,2024-08-27,16,open_short,close_normal,short,0.3048,3.0576,0.1688,22165.0000,6986.0000,23980.0000,6400.0000,1815.0000,-586.0000,8.1886,-8.3882,7,2,5,5,101476.2000,12.0000,240.5794,-5.8392,-246.4186,69385.0000,349.7870,69035.2130,68.0309,False,69035.2130,68.0309,0.0000,16,69035.2130,68.0309,2024-08,2024-08
49,ZN0-SF0,ZN0,SF0,2024-09-30,2024-10-08,1,open_short,close_normal,short,0.2622,2.3281,0.2105,25135.0000,6788.0000,25270.0000,6638.0000,135.0000,-150.0000,0.5371,-2.2098,4,1,5,5,64396.8000,12.0000,207.7510,1.4931,-206.2579,3450.0000,215.0460,3234.9540,5.0235,False,3234.9540,5.0235,0.0000,1,3234.9540,5.0235,2024-09,2024-10
50,ZN0-SF0,ZN0,SF0,2024-10-25,2024-10-31,4,open_short,close_normal,short,0.2546,2.3079,0.1514,25045.0000,6578.0000,25260.0000,6566.0000,215.0000,-12.0000,0.8585,-0.1824,4,1,5,5,64054.8000,12.0000,210.9621,-10.4396,-221.4017,4360.0000,214.3640,4145.6360,6.4720,False,4145.6360,6.4720,0.0000,4,4145.6360,6.4720,2024-10,2024-10
51,ZN0-SF0,ZN0,SF0,2025-01-15,2025-01-21,4,open_short,close_normal,short,0.2696,2.2776,-0.0836,23610.0000,6490.0000,24185.0000,6468.0000,575.0000,-22.0000,2.4354,-0.3390,7,2,5,5,106950.0000,12.0000,134.8634,-0.9892,-135.8527,20345.0000,360.4810,19984.5190,18.6859,False,19984.5190,18.6859,0.0000,4,19984.5190,18.6859,2025-01,2025-01
52,ZN0-SF0,ZN0,SF0,2025-04-08,2025-04-16,6,open_short,close_normal,short,0.2610,2.5445,-0.1653,22100.0000,5860.0000,21905.0000,5692.0000,-195.0000,-168.0000,-0.8824,-2.8669,4,1,5,5,56556.0000,12.0000,102.2014,-7.4640,-109.6654,-3060.0000,187.5720,-3247.5720,-5.7422,False,-3247.5720,-5.7422,0.0000,6,-3247.5720,-5.7422,2025-04,2025-04
53,ZN0-SF0,ZN0,SF0,2025-05-29,2025-06-06,5,open_long,close_normal,long,0.2378,-3.4235,-0.1822,22480.0000,5232.0000,22400.0000,5098.0000,-80.0000,-134.0000,-0.3559,-2.5612,4,1,5,5,57091.2000,12.0000,-122.3680,-14.1258,108.2422,930.0000,189.8500,740.1500,1.2964,False,740.1500,1.2964,0.0000,5,740.1500,1.2964,2025-05,2025-06
54,ZN0-SF0,ZN0,SF0,2025-06-09,2025-06-11,2,open_short,close_normal,short,0.2327,2.2919,-0.0623,21925.0000,5168.0000,22125.0000,5190.0000,200.0000,22.0000,0.9122,0.4257,4,1,5,5,55720.8000,12.0000,75.9292,-7.4728,-83.4020,3890.0000,186.5580,3703.4420,6.6464,False,3703.4420,6.6464,0.0000,2,3703.4420,6.6464,2025-06,2025-06
55,ZN0-SF0,ZN0,SF0,2025-07-22,2025-07-30,6,open_short,close_normal,short,0.2524,2.3913,-0.0653,22960.0000,5868.0000,22655.0000,6014.0000,-305.0000,146.0000,-1.3284,2.4881,4,1,5,5,58624.8000,12.0000,82.1597,2.6704,-79.4893,-6830.0000,194.3420,-7024.3420,-11.9819,False,-7024.3420,-11.9819,0.0000,6,-7024.3420,-11.9819,2025-07,2025-07
56,ZN0-SF0,ZN0,SF0,2025-07-31,2025-08-05,3,open_long,close_normal,long,0.2600,-2.5734,-0.2369,22330.0000,5702.0000,22395.0000,5710.0000,65.0000,8.0000,0.2911,0.1403,4,1,5,5,57013.2000,12.0000,-114.1691,-9.9350,104.2341,-1260.0000,190.3120,-1450.3120,-2.5438,False,-1450.3120,-2.5438,0.0000,3,-1450.3120,-2.5438,2025-07,2025-08
57,HC0-SM0,HC0,SM0,2024-12-26,2025-02-17,30,open_long,close_timeout,long,1.4768,-2.2967,-1.0064,3425.0000,6116.0000,3409.0000,6392.0000,-16.0000,276.0000,-0.4672,4.5128,2,3,10,5,19228.8000,12.0000,1047.6483,1077.2756,29.6273,4460.0000,64.8600,4395.1400,22.8571,False,4395.1400,22.8571,0.0000,30,4395.1400,22.8571,2024-12,2025-02
58,HC0-SM0,HC0,SM0,2025-07-22,2025-08-14,17,open_long,close_normal,long,1.7341,-2.3197,-0.2048,3474.0000,6018.0000,3435.0000,6138.0000,-39.0000,120.0000,-1.1226,1.9940,3,5,10,5,30560.4000,12.0000,-17.3235,159.5720,176.8955,4170.0000,102.2340,4067.7660,13.3106,False,4067.7660,13.3106,0.0000,17,4067.7660,13.3106,2025-07,2025-08
59,HC0-SS0,HC0,SS0,2024-07-31,2024-09-02,23,open_short,close_normal,short,1.8347,2.3783,-0.0037,3482.0000,14065.0000,3282.0000,13570.0000,-200.0000,-495.0000,-5.7438,-3.5194,1,2,10,5,21056.4000,12.0000,7697.0625,7472.4504,-224.6121,2950.0000,68.7980,2881.2020,13.6833,False,2881.2020,13.6833,0.0000,23,2881.2020,13.6833,2024-07,2024-09
60,HC0-SS0,HC0,SS0,2024-10-23,2024-12-04,30,open_long,close_timeout,long,1.8756,-2.2127,-1.9794,3473.0000,13520.0000,3528.0000,13005.0000,55.0000,-515.0000,1.5836,-3.8092,1,2,10,5,20391.6000,12.0000,6985.5664,6311.5057,-674.0607,-5700.0000,67.0520,-5767.0520,-28.2815,True,-3058.7400,-15.0000,2708.3120,9,-3058.7400,-15.0000,2024-10,2024-12
61,HC0-SS0,HC0,SS0,2025-03-10,2025-03-25,11,open_short,close_normal,short,1.9740,2.5613,0.2785,3352.0000,13475.0000,3383.0000,13370.0000,31.0000,-105.0000,0.9248,-0.7792,1,2,10,5,20192.4000,12.0000,6878.9752,6619.2149,-259.7603,1360.0000,67.1600,1292.8400,6.4026,False,1292.8400,6.4026,0.0000,11,1292.8400,6.4026,2025-03,2025-03
62,HC0-SS0,HC0,SS0,2025-06-23,2025-08-04,30,open_long,close_timeout,long,2.0717,-2.2399,-1.4453,3109.0000,12405.0000,3420.0000,12910.0000,311.0000,505.0000,10.0032,4.0709,1,2,10,5,18616.8000,12.0000,5942.9079,5681.9028,-261.0052,1940.0000,63.6880,1876.3120,10.0786,False,1876.3120,10.0786,0.0000,30,1876.3120,10.0786,2025-06,2025-08
63,RB0-SF0,RB0,SF0,2024-08-06,2024-08-08,2,open_short,close_normal,short,1.9479,2.5935,-0.0484,3309.0000,7014.0000,3251.0000,6512.0000,-58.0000,-502.0000,-1.7528,-7.1571,1,2,10,5,12387.6000,12.0000,580.2938,150.3732,-429.9206,4440.0000,40.1720,4399.8280,35.5180,False,4399.8280,35.5180,0.0000,2,4399.8280,35.5180,2024-08,2024-08
