entry_date,entry_action,entry_z_score,entry_spread,entry_beta,exit_date,exit_action,exit_z_score,exit_spread,holding_days,spread_change,pair,holding_days_correct
2024-10-08,open_short,2.514791208919164,16561.68085266642,0.529629711591968,2024-11-18,close_normal,-0.0077527275256959,16228.438109528322,29,-333.2427431380984,AG0-AL0,30
2024-12-17,open_long,-2.365063497080758,15458.723702068555,0.5787581052133529,2025-02-06,close_timeout,-0.8483119264695815,15415.190565023058,30,-43.53313704549692,AG0-AL0,31
2025-03-28,open_long,-2.7839302140769058,14962.964772470204,0.6598960558658125,2025-05-15,close_timeout,-0.541758385792515,14557.659615012268,30,-405.30515745793673,AG0-AL0,31
2024-08-02,open_long,-2.910752426111446,9463.70441598608,1.1604822064569111,2024-09-13,close_timeout,-1.820632162384724,7869.891276021441,30,-1593.813139964639,AG0-PB0,31
2025-03-28,open_long,-2.781106537607686,5403.36341974053,1.4152533576432649,2025-05-15,close_timeout,-0.8654380607497806,5083.819345563974,30,-319.544074176556,AG0-PB0,31
2025-06-03,open_long,-2.2488153249789686,3767.218886963332,1.5140469622796435,2025-07-15,close_timeout,-2.173056513940677,2302.0980598854803,30,-1465.1208270778516,AG0-PB0,31
2024-10-21,open_short,2.3106917815748598,41473.34049096106,-1.946942405724687,2024-11-12,close_normal,0.2504820869734991,39557.02357933932,16,-1916.31691162174,AG0-ZN0,17
2025-01-15,open_long,-2.4514119826645886,38354.945459005234,-1.9196183455592704,2025-02-14,close_normal,0.2631526015414235,39901.798470540176,16,1546.8530115349422,AG0-ZN0,17
2025-04-07,open_long,-4.238276973892938,37028.28006673877,-1.890938698534694,2025-05-22,close_timeout,-0.7173896139484837,37783.65682612329,30,755.3767593845259,AG0-ZN0,31
2025-07-14,open_short,2.31594177136479,39226.28433258754,-1.8438453711944764,2025-08-01,close_normal,0.1625135064533564,38651.19170869418,14,-575.0926238933607,AG0-ZN0,15
2024-11-15,open_long,-2.451928413790807,3382.066741767588,-0.0197690346156748,2024-12-27,close_timeout,-1.5095058637124563,3190.2344321137443,30,-191.83230965384337,AG0-RB0,31
2025-02-13,open_long,-2.265393498725601,2892.7437012076894,0.0463697432476719,2025-03-27,close_timeout,-1.996109382261865,2142.845566317821,30,-749.8981348898683,AG0-RB0,31
2024-08-08,open_long,-2.350631509887444,13316.921663993584,-0.9829588200308244,2024-09-23,close_timeout,-1.03363475538507,13237.113316691772,30,-79.8083473018105,AG0-SF0,31
2025-02-28,open_long,-2.313117350219549,12712.842998448394,-0.8355372980618113,2025-04-14,close_timeout,-1.8222212339501505,12235.430678564362,30,-477.4123198840316,AG0-SF0,31
2025-07-25,open_short,3.123798441771466,12274.038383418938,-0.6503448023231406,2025-08-14,close_normal,0.2320117765132958,11645.699455896864,14,-628.3389275220725,AG0-SF0,15
2024-12-19,open_long,-2.251024105605122,10488.889651254363,-0.5680066157567443,2025-01-15,close_normal,0.2086127025011349,10881.843202652128,18,392.95355139776257,AG0-SM0,19
2025-02-06,open_short,2.8510469965677845,11517.06838717807,-0.525375327925649,2025-02-11,close_normal,0.1882060639590658,10809.79324380961,3,-707.2751433684589,AG0-SM0,4
2025-04-07,open_long,-2.4213282486403407,9463.405516876031,-0.4518058969247778,2025-05-22,close_timeout,-0.9455227872204816,9265.565701674175,30,-197.83981520185625,AG0-SM0,31
2024-08-06,open_long,-2.2785191452007463,26219.77249193879,-1.7836647592209052,2024-08-21,close_normal,-0.2276336024381631,27279.86326394162,11,1060.09077200283,AG0-SS0,12
2024-10-21,open_short,2.639649999433696,28563.08043674613,-1.7617260501913137,2024-11-06,close_normal,-0.0013145065858938,27074.760024672625,12,-1488.3204120735063,AG0-SS0,13
2025-03-14,open_short,2.603965089290213,27819.080669896164,-1.6949976933050317,2025-04-28,close_timeout,-1.0578014253243095,26389.679971533405,30,-1429.4006983627587,AG0-SS0,31
2025-07-14,open_short,2.488379032060409,27588.437147700984,-1.6138196098295847,2025-08-01,close_normal,0.1320640703681203,27074.2044580004,14,-514.2326897005842,AG0-SS0,15
2024-12-27,open_long,-2.3063160272042182,138.61305233332337,1.0010753404706016,2025-02-18,close_timeout,-1.5522223433800006,90.76479893050544,30,-47.84825340281793,AU0-I0,31
2025-03-05,open_long,-2.234490385998529,30.017202057335908,1.083466585674315,2025-04-17,close_timeout,-2.13779424092823,-126.65810916316376,30,-156.67531122049968,AU0-I0,31
2025-07-10,open_short,2.295330981004652,28.29864131326542,0.9507323919393956,2025-08-18,close_normal,0.2874666595474959,3.789154338748858,27,-24.50948697451656,AU0-I0,28
2024-11-13,open_long,-2.2656784275078223,41738.25349350391,1.563773007777322,2024-12-25,close_timeout,-0.6008942921699385,42462.90789184542,30,724.6543983415104,AL0-CU0,31
2025-02-07,open_short,2.289835509144788,43887.64017440551,1.6195320303686644,2025-02-28,close_normal,0.2910025525435783,43032.35737453576,15,-855.2827998697467,AL0-CU0,16
2025-03-12,open_short,2.581554379428564,44796.08008835557,1.648281900554497,2025-04-21,close_normal,-0.084598678997279,43831.42025771552,27,-964.6598306400484,AL0-CU0,28
2024-08-02,open_long,-2.5019190531836952,-553.753154591268,0.9739205595520952,2024-08-12,close_normal,0.2578642106823167,104.30318951845402,6,658.056344109722,AL0-PB0,7
2024-11-12,open_short,2.773479795751491,282.97101616250075,0.7990451342977528,2024-12-12,close_normal,-0.2145424433175272,-132.31245383721762,22,-415.2834699997184,AL0-PB0,23
