交易ID,配对,品种X,品种Y,入场日期,原始出场日期,原始持仓天数,触发止损,实际出场日期,实际持仓天数,信号类型,退出原因,Beta系数,入场Z_Score,出场Z_Score,入场价格_X,入场价格_Y,出场价格_X,出场价格_Y,手数_X,手数_Y,合约乘数_X,合约乘数_Y,保证金,保证金率%,原始毛盈亏,原始手续费,原始净盈亏,原始收益率%,止损后净盈亏,止损后收益率%,止损保护金额,入场价差,出场价差,价差变动,入场月份,出场月份
18,AG0-SM0,AG0,SM0,2025-04-07,2025-05-22,45,False,2025-05-22,45,open_long,close_timeout,-0.4518,-2.4213,-0.9455,7614.0,6028.0,8304.0,5992.0,7,3,15,5,106786.8,12.0,71910.0,370.338,71539.662,66.993,71539.662,66.993,0.0,9463.4055,9265.5657,-197.8398,2025-04,2025-05
19,AG0-SS0,AG0,SS0,2024-08-06,2024-08-21,15,False,2024-08-21,15,open_long,close_normal,-1.7837,-2.2785,-0.2276,6904.0,13915.0,7565.0,13810.0,3,5,15,5,79026.6,12.0,27120.0,268.846,26851.154,33.9774,26851.154,33.9774,0.0,26219.7725,27279.8633,1060.0908,2024-08,2024-08
20,AG0-SS0,AG0,SS0,2024-10-21,2024-11-06,16,False,2024-11-06,16,open_short,close_normal,-1.7617,2.6396,-0.0013,8346.0,13850.0,7777.0,13440.0,3,5,15,5,86618.4,12.0,35855.0,281.557,35573.443,41.0692,35573.443,41.0692,0.0,28563.0804,27074.76,-1488.3204,2024-10,2024-11
21,AG0-SS0,AG0,SS0,2025-03-14,2025-04-28,45,False,2025-04-28,45,open_short,close_timeout,-1.695,2.604,-1.0578,8383.0,13600.0,8165.0,12780.0,3,5,15,5,86068.2,12.0,30310.0,280.832,30029.168,34.89,30029.168,34.89,0.0,27819.0807,26389.68,-1429.4007,2025-03,2025-04
22,AG0-SS0,AG0,SS0,2025-07-14,2025-08-01,18,False,2025-08-01,18,open_short,close_normal,-1.6138,2.4884,0.1321,9210.0,12715.0,8915.0,12855.0,3,5,15,5,87879.0,12.0,9775.0,290.975,9484.025,10.7921,9484.025,10.7921,0.0,27588.4371,27074.2045,-514.2327,2025-07,2025-08
23,AU0-I0,AU0,I0,2024-12-27,2025-02-18,53,True,2024-12-27,10,open_long,stop_loss,1.0011,-2.3063,0.0,620.16,761.0,682.88,816.5,1,1,1000,100,83551.2,12.0,-57170.0,292.158,-57462.158,-68.7748,-12532.68,-15.0,44929.478,138.6131,138.6131,0.0,2024-12,2024-12
24,AU0-I0,AU0,I0,2025-03-05,2025-04-17,43,True,2025-03-05,5,open_long,stop_loss,1.0835,-2.2345,0.0,683.84,772.5,789.28,705.5,1,1,1000,100,91330.8,12.0,-112140.0,324.184,-112464.184,-123.1394,-13699.62,-15.0,98764.564,30.0172,30.0172,0.0,2025-03,2025-03
25,AU0-I0,AU0,I0,2025-07-10,2025-08-18,39,False,2025-08-18,39,open_short,close_normal,0.9507,2.2953,0.2875,773.36,762.0,777.6,773.5,1,1,1000,100,101947.2,12.0,3090.0,340.902,2749.098,2.6966,2749.098,2.6966,0.0,28.2986,3.7892,-24.5095,2025-07,2025-08
26,AL0-CU0,AL0,CU0,2024-11-13,2024-12-25,42,False,2024-12-25,42,open_long,close_timeout,1.5638,-2.2657,-0.6009,20750.0,74240.0,19910.0,74110.0,2,3,5,5,158532.0,12.0,6450.0,526.37,5923.63,3.7366,5923.63,3.7366,0.0,41738.2535,42462.9079,724.6544,2024-11,2024-12
27,AL0-CU0,AL0,CU0,2025-02-07,2025-02-28,21,False,2025-02-28,21,open_short,close_normal,1.6195,2.2898,0.291,20615.0,77220.0,20625.0,76870.0,3,5,5,5,268767.0,12.0,8900.0,894.17,8005.83,2.9787,8005.83,2.9787,0.0,43887.6402,43032.3574,-855.2828,2025-02,2025-02
